stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,47.54,0.92,0,0.8,0,0,0,0,0,0,0,0,19.57,0,0,0,0,0,1.15,0,0,8.27,0,0,0,0,0,6.17,3.43,0,0.86,64.16,0,0,0,1.62,0,0
 24-34,0,3.22,3.35,0,166.81,0,0,0,0,0,0,1.66,0,6.26,0,0,0,0,0,0,0,0.89,19.13,0,0,0,0,0,3.94,0,0,0,0,1.92,0,0,0,0,0
 36-46,0,10.17,0,0,2306.34,0,0,0,1.85,0,0,0,7.49,6.37,0,0.81,0.85,0,6.84,0,0,2.85,92.65,1.45,1.88,0,0,0,0.74,0,0,0,0,16.72,0,0,5.15,0,0
 48-58,0,16.24,0,0,3943.46,0,19.31,0,52.75,0,0,0,11.14,4.95,14.94,3.96,4.57,0.79,17.03,1.62,5.75,24.04,496.87,0,1.02,1.28,0,0.64,0.41,0,0,1.23,0,23.77,0,0,9.86,0,7.75
 60-70,0,39.32,0,0,3951.6,0.58,5.45,0,6.9,0,1.71,0,13.17,4.57,14.6,0,1.41,0,16.75,2.79,1.48,0.77,171.53,0,1.47,0,0,0,4.35,0,1.82,0,0,18.47,3.21,1,2.33,0,10.08
 72-82,0,27.09,0,0,1824.57,0,0,18.23,10.57,1.61,0,1.15,13.22,7.31,0,0,0,0,6.25,0.58,0,0.6,104.12,0,0.91,0.71,0,0,2.71,0,2.15,0,0,5.32,0.62,0,20.63,1.85,1.76
 84-94,0,35.58,0.94,1.09,1242.92,2.27,2.67,2.42,22.82,0.6,0,0,11.42,31.11,1.71,5.12,0,0,23.46,0,1.43,2.85,94.84,0,0.56,0.78,0,0,2.78,0,0,0,0,3.28,1.32,0,8.1,3.33,0
 96-106,0,51.85,0,3.02,754.66,0.78,0,0,4.69,2.18,0,0,16.64,21.58,0,2.41,3.54,0,13.7,0,0,2.26,73.32,0,1.39,0,0,0,14.39,0,0,0,0,0,4.13,2.52,8.25,0,0
108-118,0,58.96,1.98,3.94,764.06,0,8.6,0,4.37,10.1,0,0,33.82,19.54,2.91,0,2.61,0,11.14,0.75,1.05,0.55,114.2,1.2,1.23,0,0,0,13.85,0,1.05,0,0,0,23.75,0,14.95,0,0
120,0,54.43,0,5.58,753.92,0,0,5.18,5.82,17.62,0,0,18.47,10.57,0,0,0,0,7.91,0,0,2.12,75.27,2.21,3.08,0,0,0,22.12,0,0,0,0,0,13.57,10.18,7.68,0,0
