stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,80.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0
  5-6,77.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,17.01,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.56,0,0,0,25.05,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,1.22,0,1.96,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0.88,23.05,0.83,0,0,0,0,2.57,0,1.88,8.76,0,0,0,0
 24-34,0,0,0.67,1.44,0,2.49,0,0,0,0,0,1.11,0,0,0,0,0.65,6.48,0,4.17,147,0,3.45,0,0,0,0,0,0.66,50.73,0,0,0,0
 36-46,0,0,0,0.94,0,7.73,0,0,1.25,7.84,0,1.06,1.32,0,0,0,0,0,0,0,310.44,0,9.03,3.65,0,0,0,0,0,74.14,0,0,0.58,0
 48-58,0,0,0,0.61,0,54.23,0,0,0,17.24,0,0.98,0,0,0.85,0,0,3.28,0,1.39,572.31,0,6.17,2.39,0,0.5,0,0,0,65.48,0,0,0,0
 60-70,0,0,0,0,0,112.86,0,0,0,45.86,0,0,5.1,0,0,0,6.25,17.08,0,0,717.16,0,1.48,3.17,0,0,0,0,0,79.46,0,0,0,0
 72-82,0,0,0,2.96,2.43,158.1,0,0,1.71,55.52,0.71,0.58,0,0,0,0,0.68,12.75,0.74,0,929.95,0,10.27,5.56,0,0,0,0.64,0,82.37,0.62,0,3.2,0
 84-94,0,0,0,5,1.24,103.9,1.27,0,0,22.55,0.6,0,0,0,0,0,0,26.49,2.86,3.15,620.96,0,2.8,7.18,0,0,0,0,0,47.13,0,0,6.47,1.63
 96-106,0,1.15,0,5.87,8.13,105.69,0,0,0,32.41,0,0,1.46,0,0,0.92,0,10.79,0,1.84,480.07,0.75,4.16,8.68,0,3.14,0,0,0,42.36,2.03,0.68,0,0
108-118,0,0.52,0,5.33,0,162.7,0,0,2.03,34.65,0.73,0,0,1.73,0,0,0,11.51,0,0.75,534.51,0,6.48,1.81,0,0,0,0,0,21.18,0,0,0.44,0
120,0,0,0,1.13,0,162.35,0,1.42,0,81.86,0,0,0,4.03,0,0,0,29.6,0,0,967.85,0,1.29,14.17,0,1.63,0,23.26,0,56.57,0,0,0,5.63
