stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
 14-21,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0.81,0,0,0,0.81,1.01
 24-34,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1.24,0
 36-46,0,0,0.6,0,0,0,0,0,1.01,0,0,0,0,0,0,8.62,0,0,5.17,0,0,0
 48-58,2.48,0,0,0.4,0.45,0,0,0,0,0,0,0,0.67,0.57,0,0,0,0,2.58,0,0,0
 60-70,11.81,0,1.96,0,0,2.04,2.72,0,0.58,0,0,0,0.81,0,0,4.54,0,0,1.46,0,0,0
 72-82,0.59,0,3.18,0,0,0.66,3.43,0,0,0,4.08,0,0,0,0.71,4.27,0,0,1.27,0,0,0
 84-94,1.59,0,0,0,0,0,2.42,0.56,1.86,0,0,0.98,0,0,0,3.84,0,0,11.95,0,0,0
 96-106,10.43,0,0,1,0,0.86,6.64,0,0,0,0,0,1.91,0,0,14.26,0,2.47,1.11,1,0,1.12
108-118,4.03,5.47,4.14,2.45,0.48,0,6.13,0,1.23,1.43,0,0,7.81,0,0,12.12,0,0,5.29,0,0,0
120,6.96,0,8.96,3.44,0,16.84,20.95,0,0,0,0,0,0,0,0,7.58,0,0,2.79,0,0,0
