stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,82.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.97,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,47.75,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,31.42,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.33,0,0,0,69.87,5.16,9.17,0,8.73,0,0,0,0,0,0,0
 14-21,0,0,3.9,121.35,4.09,1.26,0.82,0,0,2.51,0,0,0,8.47,0,0,0,0,3.47,0,0,0.94,13.38,2.68,0,0.97,7.48,9.09,0,9.88,0,0,4.83,5.53,0,0,0,0
 24-34,0,0,2.19,54.99,0,1.05,1.37,0,0,3.71,0,0,0,1.38,0.7,0.68,0.68,0,1.92,0,0,3.07,34.19,0,0,2.2,0,25.79,0,0,2.35,0,2.92,3.04,0,0,0,0
 36-46,0,0,0.96,44.21,0,6.84,0.81,0,1.18,0.83,0,0,0,0,0,0.57,8.79,0,1.47,0,0,0,20.09,0,0,2.42,0,74.37,0,0,1.34,0,0,12.46,0,0,0.73,0
 48-58,0,0,0,38.05,0,4.07,11.51,0.42,0,1.78,0,0,0,0,0,2.15,0,0.39,3.2,0.41,0,0.52,42.24,0,1.39,0.45,0,57.8,0,0,0.62,0,0,1.43,0,0,0.49,0
 60-70,0,0,0,96.6,0,13.82,6.41,0,0.79,1.56,0,0,0,4.05,0,0.69,0,0,14.81,4.04,0,0,16.29,0,0,7.5,0,172.92,0,0,3.27,0,0,0,0,0,4.44,0
 72-82,0,0,0,75.25,0,26.26,4.24,0,2.11,0.88,0,0,1.22,4.92,0,2.52,0,0,4.42,5.23,1.19,0.5,20.52,0,0,2.68,0,227.44,0,0,0,0,0,3.8,2.25,0,0.74,0
 84-94,0,0,0,147.7,0,4.63,22.92,1.36,1.54,1.53,0,0,2.28,8.03,0,2.22,0.86,0,4.95,12.76,0,0,32.18,0,1.97,6.6,0,815.39,0,0,6.38,0,0,1.33,7.36,0,3.25,4.73
 96-106,0,0,0,154.29,0,19.34,12.84,0,6.33,8.64,0,2.28,14.71,11.7,0,5.62,0,0,21.17,14.13,0,0,22.76,0,0,4.52,0,752.4,0,0,0,0.6,0,0,2.84,0,0,2.81
108-118,0,0,0,184.7,0.82,16.2,29.28,2.81,11.4,6.59,0,0,14.78,11.28,0.7,9.08,2.5,0,23.92,15.13,2.23,0,27.7,0,4.51,6.48,0,700.62,0,0,1.54,0,0,6.63,3.07,0,0.49,1.69
120,0,0,0,202.28,0,12.38,8.28,3.26,24.66,14.74,0,0,21.15,5.48,0,2.6,0,0,12.13,4.32,0,0,14.79,0,0,19.5,0,465.24,0,0,3.25,0,0,0,2.24,3.8,1.09,0
