stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,0,0,0,0,0,0,0
  5-6,72.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.51,0,0,17.07,0,0,0,0,4.31,0,0,0,0,0,0,0,40.35,8.89,0,0,18.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,50.78,0,0,0,33.93,0,0,7.35,0,0,0,0,0
 14-21,0,3.67,9.4,10.18,3.56,0,0,2.3,1.01,0,0,0,0,6.29,0,0,8.33,25.95,1.71,0,0,0,0,5.57,0.87,17.7,11.44,1.02,0,0
 24-34,0,2.58,5.6,4.34,0.9,0,0,3.63,7.22,0,0,0.94,0,23.48,0.68,0,34.91,39.84,2.5,0,0,0,0,0,0,13.09,39.98,6.13,0,0
 36-46,0,0.72,0,0,1.71,0,1.45,0,0.82,0,0,0,0,13.41,0,2.4,3.37,20.4,0,0.6,1.94,0,0,0,0,0,13.61,0.82,0,0
 48-58,0,0,0,0,1.91,0,0,0,0,0,0,0,0,3.14,0,0.63,0.99,3.51,4.45,0,0,0,0,0,0,0,2.98,0,0,1.67
 60-70,0,0,0,0,2.09,0,0,2.39,0,0,0,0,0,2.18,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.78,0,0,0,0,0,0,0,1.16,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.74,0,6.77,7.34,0,1.8,0,0,0,0,0.98,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0
108-118,0,0,0.8,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
