stage,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,iridophores,mesenchyme,mucous,neural,otic,periderm,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,27.36,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.83,0,35.13,0
 24-34,0,0,0.76,0,0,0,0,0,0,1.25,0,137.57,1.09
 36-46,0,0,0.64,4.25,0,0,0,0,0,4.78,0,268.25,0.79
 48-58,0,0.41,0,1.2,0,0,0,0,1.17,2.85,0,186.41,0
 60-70,0,0,1.92,4.05,0,0,0,0,0,4.13,0,138.24,0
 72-82,1.03,0,2.34,0,0,0,0,1.72,0.56,0,0.56,94.88,2.31
 84-94,0,0,0,1.53,0,0,0,0,0,2.03,0,176.52,0
 96-106,0,0,10.89,0,0,0,0,0,0,3.43,0,187.46,0
108-118,2,0,1.36,0,1.21,1.12,1.59,0,0,1.83,0,129.18,0
120,4.72,0,2.15,3.08,0,0,0,0,0,0,0,76.26,0
