stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,27.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.63,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,0,14.23,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,1.03,0,0,0,0,0,0,0,0.87,0,0,0,0,1.37,1.28,0,2.58,0,0,0,0,0
 24-34,0,0.8,0,3.33,0.99,0,0,0,0,0,0,0,8.07,0,0,5.7,0,0,0.91,0,2.58,4.8,2.04,0,0.95,0,0,0,0,0,0
 36-46,0,0,0,0.84,0,0,0.87,0,0,0,0,0,1.27,0,0.65,0,0,2.58,0,0,0.59,10.16,8.87,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.92,0,0,0,0,0,0.37,0,0,4.82,0.54,2.98,0,0,0.45,7.06,1.44,0,0,2.24,0,0,0.62,0,0
 60-70,0,0,0,0,0,0,0,0,0.75,0.63,0,1.03,0.79,0,0,5.72,0,5.81,0,0,0,3.54,0,0,0,0,0,0,1.9,0,0
 72-82,0,1.1,0,4.32,0,1.05,0,0.7,2.33,0.6,0.9,1.25,0.63,0.53,0,0,0,12.03,2.19,0,0.58,10.66,1.21,0,1.4,1.56,0,1.57,1.54,0,0
 84-94,0,0,0,4.57,0,0,0.67,0,0,0.89,0,0,2.72,1.02,0,0,1.05,0.69,2.02,0,0,3.83,8.39,0,0,2.07,2.4,1.11,0,0,0
 96-106,0,1.37,0,6.18,0,0,1.31,0,0.93,4.17,0,2.95,5.93,0,1.93,0,0,17.79,0,3.27,1.63,17.18,2.02,0,3.18,0,1.49,2.03,3.35,1.13,0
108-118,0,0,0,3.24,0,2.12,1.22,0,0.48,1.17,0,1.47,5.51,0,1.67,0,0,13.69,0,0,0.83,28.27,0.6,0,0,0,0,1.36,0.48,0,0
120,0,0,0,1.18,0,0,0,0,0,3.85,0,4.87,11.45,1.91,3.84,0,0,33.31,0,0,0,1.95,0,0,0,0,3.13,0,0,0,3.64
