stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,503.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62,0,0,0,0,0,0,0,0,0
  5-6,16.49,710.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.25,25.56,0,38.82,0,0,47.65,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,311.27,0,0,0,96.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,32.79,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.44,0,0,0,66.85,0,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,1.04,16.37,3.15,2.31,0,0,0.94,0,0,0,0,0,0,0,0,3.43,8.23,0,0,5.4,65.95,0.88,0,2.02,2.21,0,2.11,8.62,0,9.52,21.84,0,0,0,0,0
 24-34,0,0,0,0,1.54,0,24.51,0.7,0,3.39,0,0,0,0,0.86,0,1.71,0.74,0,27.94,0,0,2.31,206.43,0,0,3.37,0,0,5.38,0,0,0.61,27.19,0,0,5.08,0,0
 36-46,0,0,0,0,13.41,0,29.92,3,2.27,4.93,0,0,0,0,0,0,0,0.83,0,14.55,0,0,5.75,122.75,0,1.23,1.08,0,0,7.19,0,0,0,23.34,0,0,3.88,0,0
 48-58,0,0,0,0,1.52,0,45.54,9.89,0.91,23.44,0,0,0.53,0,7.23,0.81,0,0,0,15.24,3.08,0,3.79,160.81,0.66,3.06,0.7,0,0.56,8.6,0,0,0,34.88,0,0,2.77,0,0
 60-70,0,0,0,0,2.07,0,80.77,7.14,1.38,22.57,0.64,0,0,0,3.06,0,0,0,0,16.4,0,0,1.19,110.5,0,0,3.91,0,0,3.36,0,0,0,32.77,0,0,1.65,0,4.34
 72-82,0,0,0,0,1.49,0,31.87,0,1.27,5.29,0,3.11,0,0,0,0,0,0.62,0,20.88,0,0,2.46,77.09,0,0,0.52,0,0,0.75,0,0,0,1.4,0,3.24,0,0.53,0
 84-94,0,0,0,0,0.61,0,19.46,2.08,0,6.08,0,0,5.79,0.65,0.56,0,0,0,5.92,34.7,0,0,0,24.63,0.67,4.07,3.77,0,0,4.48,0,1.62,0,4.87,0,0,3.68,1.57,0
 96-106,0,0,0,0,1.4,0,23.29,0,0,7.02,0,0,3.07,1.19,0.99,0.71,0,0,0,18.19,0,0,4.02,35.48,0,1.87,1.94,0,0,2.75,0,0,0,2.14,0.81,1.27,0,0,2.03
108-118,0,0,4.12,0,5.17,0.66,12.74,3.51,0,7.09,1.13,0,0.83,1.41,1.83,0.67,0,6.06,0,23.35,0.91,0.69,1,46,0,0,0,0,0,8.53,0,0,0,0.62,0,0,3.75,0,0
120,0,0,0,0,14.96,0,31.71,5.78,2.12,27.98,1.19,0,2.11,0,0,0,0,0,0,27.54,0,0,3.12,90.2,0,15.78,0,0,17.39,13.89,0,0,0,1.53,1.37,0,15.29,0,0
