stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.96,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0
  7-9,133.17,18.32,0,65.76,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,196.67,107.47,0,0,938.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.3,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.89,104.12,0,0,141.99,0,0,0,15.25,0,0,0,0,0,0
 14-21,0,0,0,1.3,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,7.26,1.64,0,0,0.87,0,1.54,0.96,0,0.98,15.33,0,0,0,0
 24-34,0,0,0,0,0.97,3.46,1.6,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,36.03,1.68,0,0,0,0,0,0,0,0.69,9.27,0,0,0,0
 36-46,0,0,0,0,0.68,0,0,0,2.77,0,0,0,0,0,0,0,0,1.2,0,0,0,145.74,0,0,0.63,0,0,0,0,0,0,16.31,0,0,0,0
 48-58,0,0,0,0,1.89,20.54,0,1.89,1.97,0.44,0,0,0,0,0,0,0,1.52,0,0,1,425.23,0,0,1.09,0,0,0,0,0,0,29.88,0,0.5,0,0
 60-70,0,0,0,0,0,228.63,0,0,4.48,0,0,0,0,0,0,0,0,19.02,0,0,0.68,674.52,0,0,1.74,0,2.82,0,0,0,0,44.53,0.9,0,0,0
 72-82,0,0,0,0,4.68,614.3,0,0.79,18.18,0,0,0,0.59,1.02,0.57,1.43,0,26.13,0,2.03,2.17,822.93,0,0.58,3.03,0,0,0,0,0,0,53.68,1.14,0,0.76,0
 84-94,0,0,0,0,2.75,567.49,0,0.77,26.55,0,0,2.05,0,0,7.05,0,0,16.18,0,1.4,0,528.51,1.25,0,5.37,0,0,0,0,0,0,32.21,0.64,0,6.2,0
 96-106,0,0,1.37,0,2.07,872.59,0,1.28,37.18,0,0,0,1.81,0,0,1.87,0,19.98,1.45,3.32,0,439.66,0,0,9.8,0,10.97,0,0,0,0,15.71,2.43,0,8.63,0
108-118,0,0,1.18,0,5.6,716.52,0,0.66,20.81,0,0,0,0.64,0,0,1.6,4.62,39.39,0,0,1.62,700.61,0,0,5.8,0,0.63,0,0,0,0,37.58,0,0.63,1.58,0
120,0,0,0,0,21.04,281.43,0,0,17.14,1.14,0,0,5.23,0,0,0,1.84,27.9,0,4.76,3.31,643.05,0,0,1.1,0,0,0,0,0,0,31,1.32,8.94,0,8.94
