stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.66,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.27,0,12.09,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.53,0,0,0,5.46,0,0,10.53,0,0,0,0,0,0,0,0
 14-21,0,0,7.24,5.94,30.86,0,0,1.58,0,0,0,79.27,4.11,0,0,0,2.95,0,0,0,0,0,0,0,0,68.35,1.9,4.82,69.53,0,2.47,1.53,30.46,0,0.88,141.05,0,0,0,0,0
 24-34,0,0,1.3,2.91,3.11,0.94,0,1.75,0,0,0,52.72,1.39,0,0,0,0,0,8.82,0.79,0,4.22,0,0,0,40.03,0,13.65,26.15,0,0,0,2.73,0,0,137.11,0,0,0,0,0
 36-46,0,0,0,0,3.43,0,0,2.82,0,0,0,44.91,0,0,0,0,0,0,8.12,1.17,0,1.43,1.16,0,0,63.2,0,6.17,28.53,0,2.04,0,0.58,0,0,247.72,0,0,0,0,0
 48-58,0,0,0,0,3.23,0,0,10.1,0,0,0,81.35,0,0,0,0,0,0,11.28,1.69,0,5.22,0,0,1.55,158.79,1.35,3.33,38.35,0,1.13,0,1.06,0,0,627.29,0,0,0,0,4.61
 60-70,0,0,0.89,0,7.69,0,0,14.56,0,0,0,387.76,0.62,0,0,0,0,0.82,4.89,0.81,0,21.69,0,0,0.93,144.22,0,0,65.41,0,3.26,0,1.83,0,0,883.11,0,0.65,3.21,0,7.44
 72-82,0,0,0,0,10.58,0.74,0,45.67,1.7,2.06,2.69,1548.49,2.4,0.59,0,2.13,0,24.02,12.55,0,0,49.76,0,0,0,143.99,0,4.84,150.99,0,4,0,0,0,0,1552.1,1.36,3.85,1.64,0,0
 84-94,0,0,0,0,7.19,0.74,0,32,0,0,0,1861.4,13.19,0,0,0,0,11.87,19.41,4.71,0,51.47,0,2.92,0.68,198.66,0,6,197.31,0,2.15,0,0.83,0,0,1533.8,0.78,0.71,1.46,4.9,0
 96-106,0,0,1.23,0,41.62,10.29,0,56.83,0,7.55,0,2089,5.14,0,0,0.94,2.09,33.05,27.04,9.58,0.58,115.5,2.06,1.42,1.16,161.06,2.8,15.46,268.82,0,17.59,0,0.84,0,0,1722.54,4.99,2.45,11.24,0,0
108-118,0,0,3.04,2.21,28.04,1.49,0,37.36,0,1.15,0.71,2559.21,11.78,0,0,0.59,2.3,82.45,35.78,2.22,0,86.89,3.45,0,1.24,226.26,0,8.07,410.5,0,0,0,0.51,0.66,0,948.64,5.55,0.72,2.04,0,0
120,1.12,0,0,0,18.4,1.61,2.02,22.82,0,4.01,0,2491.77,19.49,0,2.11,10.59,1.1,74.72,25.74,9.85,0,77.05,0,6.89,0,202.5,0,7.65,405.91,0,1.37,0,7.62,0,0,735.35,19.64,0,0,0,0
