stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.03,0,0,6.48,0,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,45.62,8.71,0,0,3.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,24.98,0,0,0,0,0,0,0,0,0,0,65.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,3.63,0,0,0,0,0,0.81,0,0,14.89,0,0,0,0,0
 24-34,0,0,0,1.74,0,3.73,0,0,0,1.4,0,0,10.26,0,0,0,0,2.2,6.12,0,0,0,304.12,0,4.47,0,0,0,0,0,0,119,0,0,0,0,0
 36-46,0,0,0,0.58,0,18.32,0,0,0.75,3.21,0,0,7.33,0,0.74,0,0,0,7.45,0,0,0.66,900.84,1.11,0,0.63,0,0,0,0,0,230.65,0,0,0,0,4.11
 48-58,0,0,0,4.75,2.2,53.24,0,8.58,2.13,11.52,0,0,22.42,0,1.46,0.37,0,1.7,16.53,0,0,4.25,1117.58,0.64,1.64,0,0,2.29,0,0,0,327.58,0,0,0.94,0,0.63
 60-70,0,0,0,3.47,0,174.21,0,0,0,11.58,0,0,12.62,7.06,0,0,0,0,8.38,0,0,0,2227.16,7.37,2.98,2.85,0,8.85,0,0,0,521.78,0,0,0,0,0
 72-82,0,0.54,0,13.02,18.27,274.82,5.3,4.53,0.94,35.16,0,0,10.48,0,4.18,0,1.07,0,40.23,0.73,0,2.53,2425.48,6.21,2.54,2.27,0,0.54,0,0,0,344.1,0,1.32,2.36,0.5,2.17
 84-94,0,0,0,9.85,9.53,226.24,0,0,1.18,30.01,0,0,17.26,0.82,4.08,0,0,0,23.63,0,1.89,0,1712.83,0,1.75,8.92,0,2.5,0,0,0.69,293.24,0,0.57,3.18,0,9.65
 96-106,0,0,0,6.46,4.4,206.18,0.57,0,2.39,40.88,3.01,0,15.15,0.69,5.79,0,11.34,0,17.58,0,0,1.41,1396.46,0,9.01,10.67,0,1.57,0,0.73,0,147.41,1.13,0.72,5.9,0.8,5.74
108-118,0,0,0,25.23,0.6,250.12,0,0,0.7,27.52,0,0,13.2,0,11.49,1.1,1.35,0,16.9,2.33,0,2.91,1921.71,0,0.57,17.77,0,4.58,0,0,0,97.99,0.68,0,1,1.3,0
120,0,0,0,20.15,3.96,205.82,0,0,0,51.15,0,0,36.01,0,0,0,0,0,15.39,0,0,2.53,2413.48,0,8.47,7.29,0,0,0,0,0,140.84,0,0,14.15,0,0
