stage,axial,blastomeres,eye,glial,gut,mesenchyme,mucous,neural,paraxial_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,133.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.06,58.75,0,0,0,0,0,0,15.92,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,24.96,13.27,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0
 24-34,0,0,0,0,0,1.07,0,0,0,0,2.43,0,0,0,0
 36-46,0,0,0.64,0,0,0,0,0.59,0,16.32,0,1.72,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.46,0,0,0.45,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.81,0,0.67,0,0,0,0,0,0,0,0,2.53,0
 84-94,0,0,0,0,1.31,0.63,2.28,0,0,0.59,0,1.02,1.16,0,0
 96-106,0,0,0,0,1.96,3.3,0,0,0,0,0,0,2.83,0.92,0.8
108-118,0,0,0,0.49,0,0.82,0,0,0,0,0,0,1.13,4.06,0
120,0,0,0,0,7.43,5.64,0,0,0,0,0,0,0,15.21,0
