stage,blastomeres,erythrocytes,eye,gut,heart,immune,melanocytes,mesenchyme,muscle,neural,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0
 14-21,0,0,1.42,0,0,0,0,0,0,0,0.94,0.88,0,0
 24-34,0,0,0.63,0.82,0.67,0,0,0,0,3.21,0,2.41,0,0
 36-46,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.54,2.29,0,0.86,0,0
 60-70,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.6,0,0,0,0,2.55
 96-106,0,0,0.99,0,0,0.88,0,3.49,0,0,0,0,0,0
108-118,0,0.6,0,0,0,0,1.34,0.7,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0
