stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,7.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,17.99,0,0,0,0,0
 14-21,0,0,0,0,2.06,0,0,0,0,0,0,0,1.34,0,0,0,0.88,0.87,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.12,0,0,0,0,0,0,0,0,0.79,0,0,3.96,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,47.73,0,0,0,0,0,0,0,0.7,0,0,0,2.57,0,0,0,0,9.49,0,0,0,0
 48-58,0,0,0,0,124.04,0,0,0,0,0,0,0.43,0.53,0,0,0.37,2.63,0,0,0,0,0,1.91,0,0,0
 60-70,0,0,0,0,196.76,0,0,0,0,0,0,0,1.04,0,0,0,8,0.87,1.4,0,0,0.63,8.95,0,0,0
 72-82,0,0,0,1.04,167.3,0,7.93,2.21,0,0,0,0,4.08,0,0,0,18.11,2.62,0,0.66,0,0,8.95,0,0,1.58
 84-94,0,4.31,2.16,0,258,0,0,0,0.98,0,0,0,4.36,2.3,0,0,8.29,6.58,0,0,0,0,8.27,2.89,0,0
 96-106,0,0.56,0,0.98,320.02,3.98,0,0,1.59,0,0,0,14.47,0,1.34,0,23.18,2.37,0,0,0,1.56,14.52,0,6.62,0
108-118,0,0,0,0,319.96,0,0,0.48,0,0.92,7.88,0,5.93,0,0,0,1.19,7.62,3.63,0.52,0,0,9.71,0,2.33,3.42
120,0,0,1.61,0,384.79,0,0,4.69,0,0,1.84,0,1.47,0,0,0,3.42,9.01,2.64,0,0,0,5.12,0,0,0
