stage,immune,mesenchyme,muscle,neural,somites
 14-21,0,0,2.12,0,2.1
 36-46,12.05,0,0,10.11,0
 48-58,4.15,0,0,0,0
 72-82,0,0,0,1.33,0
 84-94,2.86,0,0,0,0
 96-106,1.35,0.98,0,0,0
108-118,0.42,0,0,0,0
120,7.8,0,0,0,0
