stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,15.67,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,7.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.42,3.91,0,0,4.84,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,14.47,0,0,0,0,0,1.18,2.26,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,76.06,0,0.99,0,0,0,0,0,9.69,0,0
 36-46,0,0,0,0.77,0,4.28,0,0,3.67,0,0,0,0,7.04,0,0,0.59,225.6,0,0.84,0,0,0,0,0,54.81,0,0
 48-58,0,0,0,0,0,17.69,5.54,0,1.43,0,0,0.38,0,2.4,0,0,4.94,351.58,0,0,0,0,0,0,0,53.55,0,0
 60-70,0,0,0,0,0,37.43,0,0,17.56,0,0,0,0,5.5,0,0,2.62,585.95,0,1.5,0,0,1.5,0,0,63.76,0.99,4.24
 72-82,0,0,0,0,0,63.11,0,1.93,8.43,0,0,0,0,5.26,0,0,2.86,610.81,0,3.25,0.54,0,0,0,0,63.52,0,0
 84-94,0,0,0,1.12,0,75.3,0,0,4.19,0,0,0,0,10.07,0,2.66,0,371.76,0,10.38,0.63,0,0,0,0,57.93,0,0
 96-106,0,0,0,0,0,72.79,0,1.06,4.93,0,0.67,0,0,10.23,3.31,0,9.47,323.96,0,0,2.36,0,0.94,0,0,16.12,0,0
108-118,0,0,0,2.35,0,59.73,0.52,0,4.95,0.5,0,0,0,5.11,0,0,2.02,432.85,0,2.16,0,0,1.69,0,0,11.18,0,0
120,0,0,0,0,2.91,97.72,0,0,18.2,0,0,0,0,7.16,0,0,0,549.88,0,1.11,0,0,0,0,0,1.74,0,0
