stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,73.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,22.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,5.12,6.11,0,0,2,8.5,3.67,14.72,5.71,10.34,0,0,0
 24-34,0,0,0,0,0,1.89,6.17,1.89,1.16,0,0,2.35,0,0,0,0,5.51,0,2.97,21.61,0,0,0,5.77,0,7.61,5.91,9.3,0,0,0
 36-46,0,0,0,0,0,0,30.33,0.63,1.16,0,0,0,0,0,0,0,0,0,6.7,32.71,1.3,0,0,2.58,0,8.09,0,6.06,0,0,0
 48-58,0,0,0,0,0.41,12.55,25.95,0,2.46,0,0,0.64,0,0,0,7.59,2.59,0,9.71,63.87,1.07,0,0,10.7,0,14,0,7.11,0.49,0,6.46
 60-70,0,0,0,0,1.1,10.85,15.4,0,0,0,0,0,0,0,0,0,4.88,0.62,1.43,57.03,0,0,2.43,2.66,0,24.39,0,3.82,0,0,0
 72-82,0,0,0,0,0,15.79,16.73,1,1.46,0,0.59,0,0,0,0,0,6.99,0,10.56,85.55,0,0.49,0,6.6,0,14.59,0,3.12,0,1.42,2.57
 84-94,0,0,1.98,3.21,0.82,13.94,14,1.59,3.44,0,0,0,0.73,1.58,0,0,13.23,0,14.51,44.19,0,0,0,55.12,0,14.46,0,17.47,0,0,0
 96-106,0,0,1.41,4.03,2.48,22.29,31.71,5.44,1.9,0,0,0,0.86,0,0,0,7.13,0,10.05,53.32,2.32,0,0,35.41,0,10.95,0,6.83,0,0,0
108-118,0,0,0,0,6.76,15.77,49.19,0,1.44,0.94,0,0,0,0,2.34,0.97,7.72,5.43,20.71,57.08,1.86,0,0,28.61,0,10.56,0,0,0,0,0
120,0,0,0,0,0,19.44,51.66,0,0,0,0,0,0,0,0,0,17.64,0,19.08,112.2,0,2.87,0,10.76,0,9.01,0,0,0,0,0
