stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,44.05,334.63,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0
  5-6,19.05,238.06,0,0,0,0,0,0,0,0,0,6.53,0,0,12.09,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,41.84,0,9.05,6.63,0,0,0
 10-12,0,0,0,0,5.65,0,0,4.05,0,0,0,0,0,4.04,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,4.22,0,0,0
 24-34,0,0,0,1.93,0,0,0,0,3.6,0,0,1.31,1.25,0,4.51,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,2.49,1.63,0,0
 48-58,0,0,0,0,0,0,0,0,2.04,1.15,0.75,0,0,0,0,0.93,0,0
 60-70,0,0,0,0,0,0,0,0,1.27,0,0,0.68,0,0,0.57,0,0,0
 72-82,0,0,0,0,0,0,0.99,0,1.46,3.25,12.22,0,0,0,0,2.93,0,0.6
 84-94,0,0,0,0,0.81,1.73,0,0,2.97,5.71,7.52,9.86,0,0,0,4.24,0,0
 96-106,0,0,5.6,0,7.84,0,0,0,0.73,11.38,14.88,6.06,0,0,0,0,0,0
108-118,0,0,0,0,3.31,0,0.67,0,0.68,21.86,21.08,4.53,6.48,0,0,0,0.42,0
120,1.12,0,0,0,1.25,0,0,0,9.04,4.53,0,21.67,3.45,0,0,0,0,0
