stage,epidermis,glial,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm
  7-9,0,0,0,10.18,0,0,0
 10-12,0,0,0,0,0,0,6.4
 14-21,0,0.84,0,3.22,0,0,0
 24-34,0,0,0,0,0.63,0,0
 36-46,2,0,0,1.78,0,0,0
 48-58,2.95,0,0.56,0.94,0,0,0
 60-70,0,3.26,0.95,7.76,0,0,0
 72-82,0,0.85,0.75,0,0,3.29,0
 84-94,0,0,0,0,1.11,0,0
 96-106,0,0,2.7,0,0,0,0
108-118,0,0,1.37,2.11,0,1.17,0
120,3.44,0,0,0,0,0,0
