stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,73.82,1598.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0
  5-6,81.78,1997.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.65,0,0,0,18.38,0,0,0,0,0,0,0,0,0,0
  7-9,28.67,4.37,0,26.91,0,96.24,0,8.88,0,0,0,0,0,0,0,0,0,0,425.38,11.56,0,0,245.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.1,0,25.82,0,43.03,0,8.96,0,0,0,0,0,0,0,0,0,0,379.18,7.17,0,0,80.49,0,0,0,15.89,0,0,0,0,0,0
 14-21,0,0,1.07,0,3.58,0,0,0,0,0,0,0,0,0,0.9,0,0,2.96,12.87,0,0,0,0,0,0,5.33,0,1.73,1.92,0,1.16,0,0
 24-34,0,0,0,0.86,3.42,6.97,2.75,0,0,0,0,0,0,0,7.5,0,0,3.93,91.29,0,0.68,0,0,0,0,0,0,0,11.83,0,0.93,0,0
 36-46,0,0,0,0,0,7.87,3.86,0,0,0,2.34,0,0,0.62,3.61,0,0,0.68,32.4,0,0,0,0,0,0.63,0,0,0,6.43,0,1.23,0,0
 48-58,0,0,0,0,2.99,20.92,1.69,0,0.63,0,0,0,0,0,1.61,0,0,0.82,45.64,0,0,0.49,0,0.47,0,0,0,0,11.29,0,0,0,2.95
 60-70,0,0,0,0,0.88,16.62,3.63,0,0,0,0,0,1.57,0,5.92,0,2.79,0,63.44,0,0,0,0,0,2.87,0,0,0,12.92,0,0,0,0
 72-82,0,0,0,0,0,3.16,1.49,0,0,0,0,0,1.07,0,7.65,0.67,1.04,4.99,27.19,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0
 84-94,0,0,0,0,0,1.59,2.15,0,0,0,0,0.58,0,0,6.07,0,0,0.68,2.99,0,0,0,0,0,1.22,0,0,0,1.18,1.03,0.83,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.68,1.06,0,0,0,4.45,0,2.11,0,0.62,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.24,4.75,0,0,0.74,0,0,4.76,0,3.17,0,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,7.51,0,0,0,4.34,0,0,0,0,8.99,0,0,7.98,13.96,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0
