stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,14.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.02,0,52.55,0,0,0,0,0,0,0,0,0,5.18,0,0,68.92,0,0,0,0,0,0,4.46,3.32,0,0,0,0
 24-34,0,1.09,0,301.87,0,0,0,0,0,0,0,0,0,16.57,0,2.74,219.67,0,0,0,0,0,3.1,0,11.76,0,3.99,0,0
 36-46,0,0.68,0,491.39,0,0,0,0,0,0,0,0,0,3.76,0,0,203.81,0,0.61,0,0,1.96,0,0,9.84,0,0,0,0
 48-58,0,0,0,439.85,0,0,7.09,0,0,0,0,0.48,1.55,1.66,0,0,110.62,0.63,0,0,0,0,0,0,4.94,0,1.04,0,0
 60-70,0,3.09,0,1180.09,0,1.18,19.56,0,0,0,0,0,0,8.43,0,0,117.59,0,0,0,0,0,0,0,4.21,0,0,0,0
 72-82,0,1.74,0,1286.7,0,1.47,49.13,0,0,0.57,1.05,5.32,0,14.06,0,0,91.14,0,0,0,0,0,0,0,2.98,0.69,0,1.97,8.76
 84-94,0,2.95,0,968.54,0,0,35.2,1.36,0,0,0,0,0,24.12,1.98,0,43.85,0.6,0,1.14,0,0,0,0,6.69,0,2.74,0,0
 96-106,0,16.05,4.41,789.71,0.68,0,35.38,0,0,0,0,0,0,20.81,1.69,0.65,95.74,0,3.49,0,0,0,0,0,2.37,0,1.79,0,0
108-118,0,11.6,0,892.56,0,0.65,73.63,2.33,0,0,0,0,0.59,26.37,0,4.54,103.72,0,0,0,1.19,0,0,0,0,0,0,0,0
120,0,1.13,1.3,625.84,0,5.01,63.68,0,0,0,0,0,0,13.39,0,0,140.87,0,0,0,0,0,0,0,0,0,0,0,0
