stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.75,207.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0
  5-6,12.72,277.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.88,0,0,0,54.04,0,0,11.11,0,0,0,0,0,0,0,0
 10-12,0,19.3,0,3.24,0,5.32,0,39.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.53,0,0,0,49.64,0,0,9.03,0,0,0,6.05,0,0,0,0
 14-21,0,0,0,0,5.52,1.8,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,4.4,54.15,1.54,0,0,0,0,0,0,4.33,0.94,0,3.78,22.9,0,0,0
 24-34,0,0,0,0,6.76,0,0,4.86,0,0,0,0,0,0.69,0,0,0,0,0,0,2.73,0,0,91,0,1.47,0.64,0,0,3.99,0,0,0,0,0.86,19.44,0,0.6,0
 36-46,0,0,0,0,0,0,0,15.54,0,0.63,3.15,0,0,0,0,0,0,0,0,9.93,6.08,0,4.23,108.29,1.14,0,0,0,0,2.79,0,0,0,0,0,17.37,0,0,0
 48-58,0,0,0,0,3.35,0,0,27.76,0.42,0.44,8.39,0,0,0,0,0,0,0.38,0,0,5.65,0,2.53,98.17,0.6,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0
 60-70,0,0,0,0,0,0,0,40.66,0.96,0,1.98,0,0,0,0,0,0,0,0,0,3.91,0,0,71.83,1.36,0,0,0,0,0.6,0,0,0,0,0,23.99,0,0.58,0
 72-82,0,0,0,0,3.31,0,0.76,24.95,0,0.7,3.97,0,0,1.72,0,0,0,0,0,0,19.25,0,0,80.76,0,0,0,0,0,2.88,0,0,0,0,0,4.34,0,0.87,0
 84-94,0,0,0,0,1.79,0,0,43.08,0,0,5.94,0,0.76,0,0.67,0,1.24,0,17.36,0,15.38,0,0,60.63,0,4.43,0.7,0,0,1.03,0,0,1.79,0.62,0,5.7,0,1.4,0
 96-106,0,0,2.18,0,4.81,0,0,25.95,0,2.44,4.85,0,0,0,0,0.8,0,0,0,0,5.53,1.06,0.79,57.94,0,1.2,0,0,0,0.65,0,0,0,0,0,0,1.93,0,0.65
108-118,0,0,0,0,1.73,0,0,42.08,0,0.94,7.86,1.33,0,1.62,0,0,2.8,0,0.6,0,7.73,0,0,41.6,0.8,1.06,2.68,0,0.87,6.07,0,0,0,0,0,4.51,0,0,4.13
120,0,0,0,0,0,1.95,0,53.58,0,0,9.18,0,0,0,0,0,0,0,0,0,27.62,0,0,85.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
