stage,blastomeres,epidermis,eye,fast_muscle,glial,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,0,4.32,0,0,0,0,8.92,25.34,1.42,0,1.54,0,1.03,0.94,14.75,138.95,110.07,13.23,0,0,0,0
 24-34,0,0,0.94,3.48,1.89,0,0,0,0.93,11.39,25.43,0.67,1.64,0,0,1.44,0,27.83,66.33,65.13,11.81,0,0,0,0
 36-46,0,2.21,4.17,26.06,0,0,0,0,0.62,7.03,19.61,0,0,1.31,0,0,0,7.57,45.67,4.41,5.87,0,0,0,0
 48-58,0,0,3.11,21.36,1.9,0,0.38,0,0,12.47,27.19,1.41,0,0,0,0,0,5.54,32.58,0,0.44,0,0,0,8.49
 60-70,0,0,1.07,9.55,1.71,0,0,0,0,16.28,3.51,1.15,0,0,0,0,0,3.9,16.1,0,1.47,0,0,0.81,0
 72-82,0,0,3.61,5.93,0,0,0,0,3.09,2.92,1.48,0,0,0,1.13,0,0,2.5,14.91,0,1.92,0,0,0.91,0
 84-94,0,0,0,13.62,2.18,0,0,0,0,4.66,0,0,0,0,0,1.3,0,3.9,14.48,0,0.8,0,0,5.26,0
 96-106,0,0,3.57,11.15,8.17,0,1.93,0,0,0.82,19.45,0,0,1.1,0,0,0,2.5,21.15,0,0,0,0.85,1.51,0
108-118,0,0,0,8.12,4.81,2.64,0,0.79,0,7.16,4.04,1.39,0,0,0,0,0,0,14.01,0,0,0.46,0,3.2,0
120,0,0,0,31.2,0,0,1.28,0,0,4.61,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0,0
