stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,196.88,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0
  5-6,0,364.01,0,0,0,0,0,16.25,0,0,0,0,0,0,0,6.92,0,0,0,0
  7-9,9.84,0,13.05,0,0,22.56,0,7.03,0,0,0,0,151.95,23.01,37.11,0,0,0,0,0
 10-12,0,38.94,21.35,0,4.95,12.94,0,17.04,0,0,0,0,274.31,0,108.96,0,17.57,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.21,1.24,0,0,0,0,0,0.85,0
 24-34,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0.6,2.71,0
 36-46,0,0,0,0,0,0,0,0,0,1.04,0,0,1.67,0.71,0,0.72,0,0,0,0
 48-58,0,0,0,0,0,1.41,0,0,0,0,0.74,0,1.24,0,0,2.74,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0
 72-82,0,0,0,0,0,0,0.65,0,0.65,0.58,0,0,3.16,0,0,0,0,0,0,3.45
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0
 96-106,0,0,0,0.62,0,1.85,0,0,0,0,0,0,3.48,0,0,1.68,0,0,0,0
108-118,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
