stage,blastomeres,epidermis,eye,glial,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  5-6,35.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,0,0,0
 10-12,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0.65,0,0,0,0,0,0.76,0,0,0,0,0,1.98,0,0,0
 48-58,0,0,0,0,0,0,0,2.02,0,0,3.73,0,0,1.85,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.45,0,0,1.24,0,0,0
 72-82,0,0.99,0,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0
 84-94,0,0,2.21,0,0.63,0,0,0,0,0.56,11.1,0,8.91,0,45.13,1.37,0
 96-106,0,0.9,2.31,2.31,0,0.65,0,1.84,0,0,4.99,0,0.69,0,3.64,0.66,20.12
108-118,0,0,1.99,0,0,0,1.73,1.39,5.97,1.37,6.07,0,4.77,0,72.05,0,0
120,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0
