stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pgc,pronephros,spinal_cord,xanthophores
  3-4,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.91,0,0,0,0,0,0,0,0,11.15,0,0,5.03,0,0,0,0
 14-21,0,0,0,1.82,0,0,0,0.87,0,0,0,0,0,0,0,22.8,3.47,0,0,0,0,17.88,0
 24-34,0,0,0,0,0,0,2.34,2.07,0,1.68,0,0,0,0.65,0,273.78,2.99,0,0,0,0,78.77,0
 36-46,0,0,0,0,0,0,0.61,0.62,0,0,0,0,0,0.78,0,280.19,0.57,0,0,0,0,71.9,0
 48-58,0.77,0,0,0,0,0,7.95,0,0,0,0.92,0,1.44,1.79,0,163.4,0,0,0,0,0,38.28,0
 60-70,0,0,0,0.9,0,0,2.97,0,0,0,0,0,2.89,3.02,0.84,92.54,2.34,0,0,0,0,31.01,0
 72-82,0,0,0,10.64,0,0,10.32,0,0,0.53,0,0.63,0,5.33,0,97.62,1.03,1.91,0,0,0,10.69,0
 84-94,0,0,0,6.58,0,0,17.27,0,0,0.95,0.84,0,0,2.41,0,56.04,6.22,0,0,0,0,10.47,0
 96-106,0,0,0,8.46,0,1.36,14.82,0,0.63,4.65,0,0,0,7.03,0,32.75,0,3.14,0,2.06,0,5.84,0
108-118,0,0,1.77,1.01,0,11.76,22.23,0,1.7,4.79,1.75,0.7,0,0.46,0,79.55,0,1.77,0,0,1.88,3.87,0.48
120,0,0,0,0,1.64,0,36.43,0,0,0,0,0,0,0,0,113.71,0,4.64,0,0,1.86,0,0
