stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,45.18,57.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0
  5-6,0,71.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0
  7-9,0,0,6.84,0,0,0,5.92,0,11.14,0,0,0,0,0,0,0,29.67,0,0,0,29.85,0,0,0,0
 10-12,0,9.13,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,39.49,0,0,0,25.66,4.05,0,0,0
 14-21,0,0,0,5.92,0,0,0,1.3,0,0,0,0,0,1.02,0,0,5.7,0,0.96,0,0,0,0.88,1.38,0
 24-34,0,0,0,0,0,0,3.53,3.03,0,0,0,0,4.01,3.02,0,0,37.46,1.02,0,0,0,4.16,0,6.42,0
 36-46,0,0,0,14.34,0.84,0,8.89,0,0,0,0,0,0,2.18,0,4.3,22.22,0,0,0,0,0.6,0,7.83,0
 48-58,0,0,0,0,0,0,11.96,0,0,0,1.91,0,0,4.71,0,0.81,31.65,0,0,0,0,0,0,1.21,0
 60-70,0,0,0,0,0,0,9.81,0,0,0,0,0,0,0,4.22,0,16.81,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.46,0.89,0,0,0,0,0,3.72,0,0,5.5,0,0,0,0,0,0,0.58,1.32
 84-94,0,0,0,0,0,0,3.49,0,0,0.8,0,0.58,0,0,0,0.7,8.2,0,0,0.83,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.74,0,0,2.78,1.88,0,1.84,0,0,0,0,0,0,0,0
108-118,0,0,0,0.43,0,0,6.71,1.06,0,0,0,0,0,1.22,0,0.52,5.47,0,0,0,0,0,0,0,1.54
120,0,0,0,0,0,14.33,10.53,12.45,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
