stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,132.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.12,0,0,0,0,0,0,0,0
  5-6,8.09,120.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.12,0,0,0,0,0,0,0,0
  7-9,10.06,0,0,0,0,0,34.77,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,78.97,7.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.73,0,0,0,20.84,0,6.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.9,2.04,1.68,0,0,0,0,0,0.91,0,0,1.28,0,0,0,1,0,0,0,18.16,5.26,1.04,0,6.2,0,1.3,0,2,2.65,0,0,0,0
 24-34,0,0,1.46,1.44,2.99,0,0.91,0.9,0,0,0,0,0,0,0,2.09,0,0,0,4.09,0,0,2.59,82.88,0,1.06,2.67,0,6.17,2.22,0,3.36,8.8,0,0,0,0
 36-46,0,0,0,0,1.28,0,6.12,5.66,0,0,0,0,0,0,0,0,0,0,1.49,11.29,0,3.58,2.76,86.19,0,0,2.22,0,16.83,0,0,0,12.25,0,0,0.74,0
 48-58,0,0,0,0,0.4,0,27.03,6.36,1.21,0.43,7.77,0,0,0,5.68,0.38,0.4,0,0,10.69,1.73,0,0.4,80.06,0,1.87,9.48,0,2.53,0,2.49,0,8.89,0,0,0.42,0
 60-70,0,0,0,0,2.97,0,68.77,6,1.1,0,5.67,0,0,0,0,0,0,0,0,14.81,0.84,0,0,92.31,0,1.4,6.14,0,1.89,0,0.75,0,4.1,0,0,0,0.73
 72-82,0,0,0,0,0,7.26,112.56,9.39,0,0,5.62,0.61,0,0,0,1.2,1.23,0,0,22.46,0,0,0,88.79,0,1.08,26.47,0,6.63,0,0,0,24.7,0,0.83,2.23,0.64
 84-94,0,0,2.22,0,15.98,7.32,108.82,19.68,0.6,0.89,4.67,7.88,0,1.66,0,0,2.2,0,0,12.91,1.27,0,12,131.43,0,2.14,64.45,0,4.14,1.44,0.78,0,15.61,0.57,0,4.85,0
 96-106,0,0,0,0,2.87,3.45,107.6,5.87,0,0.59,8.32,2.2,0,0,0.57,0,10.17,0,0,4.45,0,0,0.58,57.21,0,4.82,42.99,0,2.58,0,2.48,0,2.07,0,0,7.35,0
108-118,0,0,0,0,3.62,1.18,102.21,17.96,0.79,0,6.39,0,0,0,0,0,4.81,0.89,0,13.54,0,0,6.4,81.29,0.91,0,55.13,0,9.35,0,1.8,0,0,7.41,0,0,0
120,0,0,0,0,5.24,0,125.71,12.87,1.19,8.03,15.77,1.19,0,0,7.34,0,13.44,0,0,3.93,0,0,1.82,66.76,0,1.32,49.23,0,5.06,1.14,0,0,0,6.17,0,0,0
