stage,eye,fin_epithelia,glial,mesenchyme,neural,pericytes,spinal_cord
 14-21,0,0,0,1.17,0,0,0
 24-34,0,0,0,0,2.76,0,3.82
 36-46,0.56,0,0.6,0,5.7,0,1.31
 48-58,0,2,2.48,0.51,10.07,0,0.39
 60-70,0.61,0,0.72,0,2.36,0,0
 72-82,0,0,0.75,0,0,0,0
 84-94,0,0,1.91,0,2.29,0,0
 96-106,0,0,0,0,1.05,1.54,0
108-118,1.25,0,3.42,0,0,0,0
