stage,erythrocytes,eye,glial,neural,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,5.22,0,0,0
 24-34,0,0,0,0,0,0,1.34,0
 36-46,0,0,0,4.71,0,0,4.49,0
 48-58,0,0.66,0,6.37,0,0,0,0
 60-70,0,0,0,0,0,0,1.02,0
 72-82,0.95,2.52,0.74,1.4,0,0.57,0,0
 84-94,0,0,0,7.95,0,0,0,0
 96-106,0,0,0,1.51,0,0,0,0
108-118,0,0.71,0,3.46,0,0,0,0.97
120,0,0,0,0,0,2.1,0,0
