stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.68,655.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,120.3,1223.09,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,19.93,0,0,0,0,0,0,0
  7-9,0,21.58,26.87,0,0,45.67,0,0,0,0,27.53,0,0,0,0,0,0,0,0,0,0,0,336.35,29.76,0,0,135.59,9.07,0,0,0,0,0,0
 10-12,0,10.99,45.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.49,3.39,0,0,78.91,0,0,13.7,0,0,0,0
 14-21,0,0,0,12.29,3.25,2.96,0,0,0.84,0.85,0,0,0,0.86,0,0,0,0,4.62,0,0,3.37,45.87,0.83,0,0.88,1.64,0.8,9.62,0.97,3.52,16.08,0,0
 24-34,0,0,0,0.64,0,7.5,0,0,0.62,0,0,0,3.71,1.33,0,0,0,0,7.66,0,0,2.72,59.33,0.71,0,2.26,0,17.25,0,0,2,12.54,0,3.18
 36-46,0,0,0,0.67,0,7.14,1.03,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,4.57,51.47,0,0,0.67,0,33.95,0,0,0,12.63,0,0
 48-58,0,0,0,0.41,0,35.33,0,0,0.82,1.77,0,0,1.43,0,1.21,0,0,0,19.27,0,0,2.44,48.85,0,0,0,0,12.62,0,0,0,6.55,6.17,0
 60-70,0,0,0,1.13,0,20.69,0,0,8.4,0,0,0,0,0.62,0,0,0,0,5.23,0,0,0.72,37.17,0,1.03,0,0,5.99,0,0,0,3,0,0
 72-82,0,0,0,0,0,28.18,0,0,0.7,0,0,1.38,0.56,0,0,0,0,0.5,14.4,0,0,0,35.37,0,0,0,0,2.84,0,0,0,12.62,0,0
 84-94,0,0,0,0,1.48,6.36,0,0,0.55,0,0,0,4.37,0,0,0.66,0,0,14.17,0.57,0,1.49,31.08,0,0,0,0,1.58,0,0,0,15.25,2.82,0
 96-106,0,0,0,2.07,0,28.46,0,1.25,2.32,0.97,0,0,2.5,0,0.92,0,0.74,0,4.05,0,0,0.58,22.6,0,0,0,0,0.72,0,0,0,4.8,0.74,0
108-118,0,0,0,0,0,17.78,0,0,9.62,0,0,0,1.46,0,0.55,0,0,0,4.3,0,1.62,0.45,25.03,0,0,0,0,3.74,0,0,0,7.7,0,0.64
120,0,0,0,9.18,2.93,10.23,0,0,0,0,0,0,1.34,0,0,0,0,0,13.32,0,0,1.09,9.01,0,0,0,0,6.99,0,0,0,0,0,0
