stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,48.1,119.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,346.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,27.33,0,0,0,3.85,0,0,0,0,0,0,0,0,163.78,11.2,0,42.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.38,0,0,96.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.39,1.63,0,0,0,0,0,0,0,0,3.66,0,0,2.74,53.13,1.48,0,0,0,0,4.39,0,4.26,11.1,0,1.25,0
 24-34,0,0,0,0.61,3.47,0,0,0,0,0,0,0,0,3.3,0,0,1.43,48.2,0,0.77,0,0,0,0,0,0,7.09,0,0.69,0
 36-46,0,0,0,1.21,6.26,0,0,2.76,0,0,0,0,0,5.51,0,0,0,50.11,0,0,0,0,0,0,0,0,6.71,0,0,0
 48-58,0,0,0,0.94,10.66,0,0.46,3.41,0,0.39,0,0,0.5,8.62,0,0,0.87,33.48,0,0,0,0,0,0,0,0,8.91,0,0,0
 60-70,0,0,0,0,9.82,0,0,1.41,0,0,0,0,0,2.36,0,0,0,49.42,0,0,0,0,1.42,0,0,0,2.97,0,0.86,0
 72-82,0,0,0,0.5,8.47,0,0,5.59,0,0,0,0.92,0,9.64,0,0,0.64,31.05,0,0,0,0,0,0,0,0,7.96,0.56,0,0
 84-94,0,0,0,1.42,8.82,0,0,5.57,0,0,0,0,0,5.38,0.98,0.68,0,25.64,0,0.63,0,0,0,0,0,0,1.63,1.7,4.21,0
 96-106,0,0,0,0,2.49,0,0,0,0,0,0,0,0.77,12.37,0,0,0,14.05,0,0.77,0,1.44,0,0,0,0,0,0,0,0
108-118,0,0,0,0.56,6.61,0,1.52,15.07,0,0,0.88,0,0,6.57,0,0,0.44,57.16,0,0,0,0,0,0,0.43,0,0,0,0,1.11
120,0,0,0,0,25.24,1.65,2.8,10.44,0,0,0,0,0,24.92,0,0,4.04,62.83,0,3.14,0,0,0,0,0,0,14.33,0,0,0
