stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,74.56,1241.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.51,0,0,0,0,0,0,0,0,0
  5-6,49.75,1037.3,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,34.64,0,0,0,0,0,0,0,0,0
  7-9,14.46,6.79,9.02,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.99,0,0,0,39.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.62,8.78,0,10.05,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,90.25,0,0,0,10.66,0,0,9.53,0,0,0,0,0,0,0
 14-21,0,0,1.03,0.81,2.65,0,0,7.03,0,0,0,0,0,0,0,0,5.54,0,0.91,24.36,0.82,0,0,0,1.44,2.64,0,0,5.28,3.09,0,0,0,0
 24-34,0,0,0,1.16,1.59,0,0,1.92,0,0,0,0,0,0,0,0,2.26,0,0.94,11.06,0,0,0,0,6.61,0,0.6,0.66,0,22.44,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,2.69,0,1.43,12.85,0,0,0,0,14.93,0,0,14.62,0,29.29,0,0,0,0
 48-58,0,0,0,2.62,19.78,0,0,2.09,0.97,0,0,0,0.61,0,0.46,0,1.9,0,0,19.42,0,0,0,0,10.57,0,0,14.17,0,8.75,0,0,0.39,0
 60-70,0,0,0,0,14.65,0,0,3.09,1.05,0,0,1.48,0,5.4,0,0,4.53,0,0,14.03,0,0,0,0,11.55,0,0,7.18,0,7.53,0,0,0,0
 72-82,0,0,0,0,12.34,0,0,1.63,0,0,0.58,2.29,0,0,0,0,0.87,0,0,18.37,0,0.6,1.01,0,2.59,0,0,0,0,1.26,0,0.49,2.08,0
 84-94,0,0,0,1.47,31.31,0.73,0,4.03,6.38,0,0,0.78,0,0,0,0.56,0,0.76,0.55,6.09,0,0,0,0,28.93,0,0,5.17,0,3.15,0,0,5.7,0
 96-106,0,0,0,3.79,21.15,0,0,2.95,1.09,0,1.22,0.7,0,0,0,0,3.4,1.76,0,12.76,0,0,0.93,0,12.95,0,0,1.26,0,0,0.67,0,0,2.48
108-118,0,0,0.74,0,21.82,0,0,3.65,0,0,0.68,0.49,0,0,0,0,4.79,0,0.67,30.5,0,0,0,0,12.17,0,0,0.71,0,5.32,0,0,2.61,0
120,0,0,0,0,25.91,0,2.51,6.27,4.85,0,0,0,0,0,0,0,12.58,0,0,33.74,4.01,0,0,0,4.3,0,0,0,0,0,0,0,0,0
