stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,67.21,1389.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.64,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,183.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,19.69,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.75,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.58,0,0,0,53.02,0,0,16.22,0,0,0,0,0,0,0,0,0
 10-12,0,12.71,0,48.45,0,4.44,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.48,28.88,0,0,189.31,0,0,0,0,14.76,0,12.06,0,0,0,0,0
 14-21,0,0,0,8.85,188.82,17.39,0,22.12,0,0,0,8.37,4.16,1.76,0,0,0,0,0,0.86,65.52,0,0,40.11,354.31,26.88,0,6.07,19.3,0,1.22,7.45,122.31,0,67.12,97.06,105.7,0,10.49,0,0.84
 24-34,0,0,0,2.81,244.8,11.34,0,57.58,0,13.49,7.47,30.64,0.67,2.57,5.5,0.68,0,2.19,0.77,0,197.57,0,1.21,73.98,616.64,34.97,0.63,6.39,0,0,2.09,0.86,0,4.35,12.64,44.02,150.17,0,96.57,0,3.3
 36-46,0,0,0,0,153.67,1.22,0,121.49,0.68,55.05,9.4,141.87,1.53,14.66,0,0,0.81,0,0,0,312.66,1.87,0,83.46,483.3,32.94,1.82,1.62,0,0.77,10.96,1.69,0,0.88,2.6,0,140.11,0,64,0,0.61
 48-58,0.77,0,0,0,113.05,0,0,323.57,0.53,70.55,22.77,329.98,0,4.59,0,0,3.45,0,5.85,2.29,436.13,0,9.05,55.75,340.87,18.72,0,1.35,0,0,1.21,0,0,0,2.09,0,162.68,2.47,42.37,0,7.58
 60-70,0.81,0,0,0,82.46,0,0,1078.06,0.65,97.45,15.77,502.28,0.65,4.87,0,0,5.35,0,0,9.3,470.73,1.53,10.39,27.83,165.18,5.42,0,4.71,0,16.29,7.05,0,0,1.25,2.63,0,72.36,24.42,37.31,2.68,6.18
 72-82,0,0,0.76,0,102.28,3.63,0,1709.47,7.77,94.72,39.31,515.47,0,12.84,0,0,0.64,1.86,0.96,0,631.07,0.73,23.55,46.26,235.81,10.32,0,8.29,0,17.57,2.11,0,0,0.64,0,0,17.01,23.49,91.28,9.82,0.78
 84-94,0,0,0,0,165.41,2.86,0,1177.31,6.27,142.98,18.92,430.08,0,7.81,3.18,0.8,11.84,0.9,0.89,0,538.08,0,28.98,38.83,133.97,2.21,0,11.71,0,12.01,10.12,0,0,2.5,0.66,0,40.76,12.63,73.32,12.11,0
 96-106,0,0,0,0,190.59,5.95,0,1181.33,6.47,95.93,12.45,414.03,0.59,8.71,3,0,5.14,0,0,0,451.24,3.87,23.91,58.81,216.7,1.77,7.55,12.24,0,36.36,9.78,0,0,1.66,0,0,15.37,17.92,59.66,10.24,13.54
108-118,0,0,0,0,198.44,2.16,0.56,1050.14,4.15,189.24,12.48,477.56,2.83,15.26,2.07,3.93,10.31,1.7,1.37,1.99,432.63,2.48,33.78,50.95,193.35,8.39,0,2.65,0,44.28,12.47,0.42,0,2.08,1.89,0,6.39,10.12,60.13,20.07,10.41
120,0,0,0,0,151.04,0,0,557.55,5.42,87.2,19.82,421.25,0,4.87,1.61,0,9.38,0,0,0,304.46,0,3.46,47.34,250.06,18.77,0,13.98,10.96,27.08,2.29,0,0,1.58,0,0,15.18,25.07,60.48,27.1,0
