stage,axial,blastomeres,immune,neural,paraxial_mesoderm,presomitic_mesoderm
  3-4,0,30.48,0,0,0,0
  5-6,0,37.45,0,17.71,19.14,0
  7-9,8.54,0,0,0,25.26,0
 10-12,0,0,0,0,3.22,0
 14-21,0,0,0,0,0,1.25
 84-94,0,0,1.69,0,0,0
