stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0
  5-6,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.98,22.59,0,0,0,0,0,1.99,0,0,0,0,0,0,7.45,1.73,0.93,0,0,0,0,0,1.1,1.93,0,15.13,0,0
 24-34,0,3.14,3.14,1.94,0,0,0,0,8.11,0,0,0,4.4,0.83,0,0,47.55,0,0,0,0,0,0,0,6.44,0,83.18,0,0
 36-46,0,0.87,0,1.85,0,0,0,0,6.46,0,0,0.86,2.91,0,0,0.96,227.9,0,0,0,0,0,0,0,38.46,0,92.98,0,1.04
 48-58,0,0.37,2.22,22.47,0,0,1.14,0,6.07,0,0,0,2.07,0,0,3.43,586.7,0,0,0.69,0,5.67,0,0,126.48,0,62.31,0,0
 60-70,0,3.12,0,30.79,0,0,0.57,0,27.37,0,0,0,14.92,0,0,10.58,775.22,0,0,0,0,0,0,0,197.55,0,42.31,0,0
 72-82,0,2.88,1.87,36.36,0,1,10.76,0,3.52,0,0,0,16.68,0,0,4.82,710.68,0,0,0,0,0,0,0,190.77,0,74.37,0,0
 84-94,0,0.68,0,34.28,1.36,0,3.37,0,1.99,0,0,0,13,0,0.72,0,465.14,0,2.7,0,0,0,0,0,89.6,0.78,83.22,1.36,0
 96-106,0,10.97,0,39.88,0,2.29,3.55,1.22,7.57,0,0,0,13.2,0,2.01,0,379.31,0,0,0,0,0,0,0,49.88,0,57.64,5.13,3.28
108-118,0,2.97,0,26.62,0.57,0,1.55,0.66,5.38,0,0.64,0.58,2.31,0,0,0,541.66,0,0.47,0,0,0.53,0,0,25.61,1.13,24.93,0,0
120,0,1.77,0,50.68,2.29,0,0,0,14.5,2.56,0,0,0,0,0,0,597.61,0,0,0,0,2.81,1.13,0,57.27,0,58,1.05,0
