stage,axial,blastomeres,epidermis,eye,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,5.05,49.97,0,0,0,0,0,0
 10-12,0,0,0,14.93,0,0,25.42,9.8,0,0,10.4,0,0,0
 14-21,0,0,0,0,0,0.96,5.1,0,0,3.87,1.75,0.92,0,0
 24-34,0,0,0,0,1.2,0,2.09,0,2.69,0,0,0,0.98,0
 36-46,0,0,0,0,0,0,4.09,0,0.76,0,0,0,0,0
 48-58,0,0,0,0.42,1.78,0,0.39,0,0.39,0,0,0,0,0
 60-70,0,0,1.02,0,3.77,0,0,0,2.02,0,0,0,0,0
 72-82,0,0,0,0,1.88,0,0.72,0,0.49,0,0,0,0,0
 96-106,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0.71
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
120,0,0,0,0,0,0,6.29,0,5.42,0,0,0,0,0
