stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.61,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,19.29,3.22,0,0,33.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,27.1,0,4.62,0,0,0,36.07,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,231.1,52.64,0,0,112.48,0,7.72,12.82,0,7.7,0,6.84,0,0,0,0,0,0
 14-21,0,0,0,1.01,755.61,26.2,0,44.72,0,169.28,0,11.03,84.7,0,0.93,0,0.86,0,1.18,0,154.33,4.98,0,105.38,722.74,21.59,10.47,33.59,0,0,4.62,0,9.96,1.05,1.38,116.18,166.52,0,0,0,0,0
 24-34,0,0,0,1.72,253.74,1.36,0,116.25,0.86,427.38,0,136.6,13.59,0.67,5.85,0,0,0,5.16,0,162.69,1.09,0,176.6,818.69,1.34,0.75,13.25,0,0,1.87,0,0,1.58,0,6.74,158.12,0,0,0,0,0
 36-46,0,0,0,0,67.38,0,0,81.45,0.68,201.38,7.88,192.02,5.98,0,6.58,0,0,0,1.78,0,384.28,1.75,1.12,111.64,731.92,0.56,0,34.97,0,0,4.98,0,0,0,0,1.09,159.99,0,0,0,0,0
 48-58,0,0,0,0,43.41,3.01,0,98.94,0,161.36,6.74,202.11,0.98,0,42.46,0,0,0,2.98,0,448.35,0.59,10.84,67.67,519.2,0,1.06,38.63,0,2.62,7.14,0,0,0,0,0,119.91,0,2.62,1.27,0,6.16
 60-70,0,0,0,0,24.44,0,0,163.56,0,113.25,10.37,179.66,0,0,63.23,0,0,0,0,0,809.46,0,42.51,13.51,410.8,4.87,0,45.39,0,2.35,1.33,0,0,0,0,0,116.84,0.91,7.14,0,1.46,0
 72-82,0,0,1.14,0,27.63,2.28,0,159.3,5.03,78.64,15.3,128.06,0,0,64.71,1.33,0,1.62,0,0,1117.45,0,43.79,29.31,390.59,0,2.97,93.9,0,1.55,2.2,1.65,0,0,1.5,0,150.95,0,30.5,1.52,21.84,0
 84-94,0,0,0,0,21.45,0.56,0,197.49,0,111.33,9.26,87.72,0.94,0,4.24,0,0,1.32,0,0,1101.87,0,46.56,29.36,301,0,0.76,112.11,0,10.11,1.52,0,0,0,0,0,95.2,0,30.88,0.65,18.44,0
 96-106,2.25,0,0,0,39.45,23.63,0,83.71,0,132.24,12.24,108.13,3.13,0,40.59,3.46,0,4.8,1.44,2.41,1039.77,0,31.19,41.54,323.89,0,2.94,95.6,0,13.82,0.63,9.56,0,1.1,0.65,0,121.24,0.61,25.01,7.48,32.08,5.92
108-118,0,0,0,0,9.47,4.5,0,117.43,0,124.16,19.54,136.54,0,0,13.04,1.52,0.72,0,0,4.08,1074.73,0,62.21,20.83,415.86,0.5,0.56,112.12,0,6.4,0,0,0,0,0,0,92.01,0.68,16.93,2.03,18.72,0
120,0,0,0,0,13.73,0,2.68,54.46,0,85.03,7.97,233.31,0,0,48.79,0,0,0,2.64,0,772.58,0,50.89,7.38,411.15,0,0,79.47,0,18.05,0,0,0,0,0,0,136.54,4.63,4.49,0,33.41,0
