stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22,10.89,0,0,0,4.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.98,26.49,0,0,0,0,0,0,0,15.33,0,0,34.57,16.21,0,0,67.31,0,0,25.53,0,0,3.76,100.29,0,0,0,36.27,0,0,1.26,1.83,0,0,0,0,0
 24-34,0,0,44.26,484.16,0,0,2.33,0,45.09,0,1.1,231.79,0,0,202.81,125.44,0,0,108.59,0,2.6,90.24,1.21,5.48,58.82,14.15,2.16,0,0,59.29,2.92,0,1.11,11.03,0,0,5.69,0,0
 36-46,0,0,17.85,1213.55,0,0,4.1,0,79.08,3.07,0.96,188.86,0.76,0,183.26,67.1,0,0,101.95,6.77,7,87.18,0,5.83,83.58,5.09,1.16,1.45,0,28.98,13.27,0,0,7.85,0,0,0,0,0
 48-58,0,0,0.5,1140.93,0,0,14.27,0,147.33,0,6.76,143.66,16.3,0,143.25,25.31,0,0,76.16,1.66,15.59,78.11,0,2.45,55.18,0.45,0,0,0,8.64,1.04,0.79,0,4.66,0,0,1.01,0,11.16
 60-70,0,0.65,0,1170.04,0.61,0,52.2,0,357.41,2.42,6.76,122.84,15.39,0,129.21,17.64,0,0,114.6,0,375.31,53.14,12.67,29.02,53.56,0,0,0,9.61,7.86,5.8,0,0,3.44,1.23,0,0,1.27,0
 72-82,0,2.07,0,702.29,0.63,0,75.69,0.59,41.85,0,7.74,141.3,2.07,0.93,103.82,26.63,0,0,167.76,0,100.09,110.75,9.12,2.36,82.83,0,0.83,0,3.44,1.1,0,0,0,3.57,0,0.67,1.9,1.09,6.91
 84-94,0,0,0,1332.51,2.67,1.31,23.74,0,89.94,0,4.96,349.51,5.58,0,161.98,304.68,0,1.42,750.49,0,57.51,137.98,26.21,0.68,56.8,0,0.91,0,0,5,0.67,0,0,0,0,0,0.64,6.82,0
 96-106,0,7.89,0,2435.01,55.3,7.64,142.52,5.6,348.36,69.96,21.5,832.51,0,0,369.91,125.85,0,2.8,1089.72,0,665.48,215.44,16.18,53.13,493.8,2.89,3.42,1.26,14.77,35.5,7.98,0,0,13.18,62.03,0,17.95,29.51,0
108-118,0,0,0,1104.45,10.55,15.71,80.17,0,167.04,41.91,23.41,566.58,0,0,279.5,37.24,1.29,1.55,1006.15,0,778.35,116.4,31.93,30.5,223.22,0.41,2.38,1.78,34.91,19.83,2.64,0,0,19.81,4.49,26.75,7.23,0,4.31
120,0,0,0,575.6,4.51,0,49.98,0,84.52,131.36,9.29,617.29,0,0,469.75,6.06,0,0,1147.88,0,383.73,141.01,30.21,25.85,143.9,0,3.73,6.39,15.16,13.86,1.55,0,0,0,0,0,0,0,0
