stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vasculature
  3-4,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.29,0,0,0,0,0,0,0,0,0,4.36,0,0,13.23,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,0,0,9.31,0,0,0,0,0
 14-21,0,2.85,0,0,0,0,0,0,0,0,2.08,0,0,4.67,0,0,0,0,0,0,1.97,0
 24-34,0,0,0,4.38,0,0,0,0,0,0,1.56,0,0,27.78,0.62,0,0,0,5.14,0,2.83,0
 36-46,0,0,0,1.81,3.12,0,1.39,0,0,0,1.2,0,1.1,19.6,1.09,0,0,0,0,0,8.91,0
 48-58,0,0,0,6.07,0,0,0,1.86,0,0,4.57,6.25,0,14.87,0,0,0,0,0,0,8.41,0
 60-70,0,0,0,12.83,0,0,0,0,0,0,4.48,0.89,0,0,0,0,0,0,0,0.67,2.04,1.82
 72-82,0,0,3.57,0.62,0,0,0,0,0,0,2.71,0,0,8.36,0,0,0,0.71,0,0,0,0
 84-94,0,0,3.96,3,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,13.75,0,1.45,0,0,0,0,4.23,0,0,1.61,0,1.12,0,1.92,2.6,0,0,0
108-118,0,0,0,18.84,0,2.53,0,0,0.64,0,0,0,0,6.84,0,0,0,0,0,0,0,0
120,0,1.84,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0
