stage,epidermis,glial,gut,mesenchyme,xanthophores
 36-46,0,0,0,1.6,0
 60-70,0.9,0,0,0,6.08
 72-82,1.93,0,0,1.4,0
 84-94,0,1.45,0,0,0
 96-106,6.15,0,0,0,3.59
108-118,6.32,0,0.65,1.49,0
120,8.11,0,0,0,0
