stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,82.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.86,94.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,8.7,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.98,0,0,0,0
 14-21,0,0,0,0,1.48,0,1.72,0,0,0,0,0,0,0,0,0,0,0,11.51,0,0,0,0,5.39,0,0,0
 24-34,0,0,0,0.59,0,0,30.57,0,0,0,0,0,0,0,0,1.76,0,0,32.39,0,0,0,0,5.08,0,0,0
 36-46,0,0,0,0,3.3,0,16.48,0,0,0,1.72,0,0,0,0,1.15,0,0.75,30.98,1.18,0,0,0,0.91,0,0,0
 48-58,0,0,0,0,0,0,72.58,0,0,0.43,7.14,0,0,0,0,1.78,0,0,55.81,0,0,0,0,3.99,0,2.9,0
 60-70,0,0,0,0,0,0,633.97,0,0,0,7.95,0,0,0,0,3.36,0,5.88,51.76,0,0,5.4,0,11.68,0,1.92,0
 72-82,0,0,0,0,2.94,0,905.42,0,0,0,22.15,0,0,0,0,7.24,0,0,57.42,0,0,0,0,12.7,0,0.82,1.24
 84-94,0,0,0,0,0.91,0,701.98,0.56,0.91,2.3,3.39,0,0.86,1.61,4.77,17.88,1.84,1.2,41.05,0,0,0,0,1.41,0,2.07,1.98
 96-106,0,0,0,0,0,1.05,702.41,0,0,0,25.26,0,4.6,0,0,7.54,0,0.87,28.07,0,2.5,0,0,5.27,0,0,0.64
108-118,0,0,3.86,0,2.8,0,460.1,0,0,1.12,22.21,1.2,0,0,0,5.77,0,1.25,21.14,0,0,0,0,0,0.67,0,0.65
120,0,0,0,0,0,0,289.1,0,4.73,0,29.43,0,0,0,0,2.18,0,0,21.78,0,2.34,2.11,0,0,0,0,0
