stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
  3-4,10.53,175.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,164.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,14.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,21.55,0,0,0,0,0,0,26.56,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.45,0,0,0,0,3.37,0,0
 24-34,0,0,0,0.62,0,0,2.7,0,0,0,0,0,0,0,3.58,0,0.69,0,77.49,3.35,0,0,1.13,25.1,0,0
 36-46,0,0,0,0,0,0,4.18,0,0,2.66,0,0,0,0,0,0,1.26,0,116.91,5.83,0,0,0,47.47,0,0
 48-58,0.39,0,0,0.58,0,0,14.36,0,0,0.64,0,0,0,0,0,0.38,3.5,0,118.65,0.89,0,0.4,0,29.7,0,0
 60-70,0,0,0,0,0,0,119.38,0,0,2.25,3.45,0,0,0,0,0,0,0.72,146.48,1.09,0,0,0,25.18,0,0
 72-82,0,0,1.32,2.39,2.39,0,67.49,0,0.71,4.82,0.73,0,0.52,0,0,6.06,0.83,0,173.13,2.36,6.21,0,0,34.17,0,0.5
 84-94,0,0,8.48,0,0,0,47.54,0,0,3.34,1.31,0,0,0.62,0,0,3.72,0,157.73,3.74,0.6,0,0,33.34,0,0
 96-106,0,0,1.05,0,0,0,94.65,1.35,0,2.01,1.3,0,0,0,0,8.54,1.64,0,134.59,0,0,0,0,14.17,0,0
108-118,0,0,2.95,0.57,0,3.1,49.55,0,0,6.3,1.15,0,1.29,0,0,6.98,0,0.7,172.41,0.81,0,0,0.43,13.58,1.74,0
120,0,0,1.22,0,0,17.35,48.81,0,0,6.36,9.69,0,0,0,0,14.14,7.32,0,225.51,2.15,0,2.24,0,15.79,0,0
