stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,0,95.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0
  5-6,14.27,170.84,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,26.47,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.95,0,0,0,17.17,0,0,0,0,0,0,0,0,0,0,78.95,0,7.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,69.69,0,53.87,0,0,0,0,0,0,0,0
 14-21,0,0,2.76,6.46,5.52,3.05,0,0,0,0.95,0,0,0,3.01,0,2.81,56.03,1.24,1.86,0.97,8.12,1,0,3.14,10.87,0,0
 24-34,0,0,0.65,0,0,3.27,0,1.35,0,0,0,0,0,3.64,0,2.87,32.71,0,0,0,0,0,0,0,9.1,0,0
 36-46,0,0,0,0.7,0,17.6,0,2.49,0,0,0,0,0,3.65,2.04,0,33.41,0,0,2.15,0,0,0,0,7.66,0,0
 48-58,0,0,0,0,0,8.67,0,1.08,0,0,0,0,0,2.76,0,1.04,8.03,0,0,0,0,0,0,0,1.91,0,0
 60-70,0,0,0,0,0,7.82,0.99,0,0,0,0,0,0,2.69,0,0.67,20.48,0,0,0.62,0,0,1.71,0,0,0,0
 72-82,0,0,0,0,0,1.21,0,0.56,0.7,0,0,0,0,9.06,0,0.57,2.24,0,0,0,0,0,0,0,0,0,1.31
 84-94,0,0,0,0,0,2.17,0,2.34,0,0,0,0,5.89,1.16,0,1.92,2.13,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.57,0,6.24,0,2.18,1.03,0,0,0,0,7.7,0,0,1.73,0,0,0,0,0,0,0,0,0,1.9
108-118,0,0,0,0,0,0,0.79,0.94,0.76,0,1.85,0,0,0.89,0,0,3.52,0,0,0.47,0,0,0,0,1.26,0,0
120,0,0,0,0,0,0,0,0,0,0,1.07,1.59,0,0,0,0,26.66,0,0,3.04,0,0,0,0,0,13.44,0
