stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,16.24,49.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.67,65.21,0,0,0,0,0,0,0,0,29.63,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.63,0,0,39.01,0,20.49,0,0
 10-12,0,0,7.46,0,0,0,0,6.66,0,0,0,0,7.75,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17
 24-34,0,0,0,0,1.08,0,0,0,0,0,13.38,2.07,0,0,2.43
 36-46,0,0,0,0,7.78,0,0,0,0,0,2.86,0,0,0,0.69
 48-58,0,0,0,0,5.05,0,0,0,0,0,1.81,0,0,0,1.1
 60-70,0,0,0,0,0,0,0,0,0,0,10.11,0,0,3.6,8.27
 72-82,0,0,0,0.86,0,0,0,0,0,1.35,5.04,0,0,0,0
 84-94,0,0,0,0,4.48,1.05,0,0,0,3.13,3.77,2.22,0,0,0
 96-106,0,0,0,0,0,0,0.96,0,0,0,0,0,0,1.17,0
108-118,0,0,0,0,4.25,0,0,0,0.69,1.04,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0
