stage,endoderm,eye,fin_epithelia,glial,neural,periderm
 14-21,1.54,0,0,0,2.58,0
 36-46,0,0,0,0,0,0.78
 48-58,0,1.14,0,0.68,0,0
 72-82,0,1.41,0,0,0,0
108-118,0,0,1.01,0,1.6,0
