stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,351.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0
  5-6,9.27,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,18.11,0,0,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.99,0,0,0,25.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,20.3,30.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.48,0,0,0,169.02,0,0,8.85,0,16.89,0,0,0,0,0
 14-21,0,0,0,0.85,0.83,7.67,0,0.88,0,0,0.85,0,0,0,0,0,1.4,0,0,14.39,81.5,0.82,0,0.96,1.18,0,20.76,0,182.63,398.45,16.04,0,0,0,0
 24-34,0,0.83,0,0,0,10.4,15.5,0,0,0,0,0,0,0,6.16,0,3.33,0,0,3.73,65.19,0,3.06,0.63,0,1.65,0,0,97.15,98.71,13.59,0,0,0,0
 36-46,0,0,0,0,1.99,9.19,11.53,0,0,0,0,1.55,0,0,10.75,0,0.83,0,0,9.99,29.85,0,5.05,0,0,0,0,0,74.59,1.38,11.56,0,0.82,0,0
 48-58,0,0,0,1.63,0,9.69,5.1,0,0.49,1.76,0,1.53,0,0,14.74,0,2.23,0.45,0,11.16,11.35,0,6.25,0.39,0,1.5,0,0,23.51,0,1.95,0,0,0,0
 60-70,0,0,0,5.92,0,5.74,7.83,0,0,2.82,0,0,0,0,52.79,0,10.22,0,0,6.23,9.35,0,14.6,0,0,0,0,0,40.53,0,7.28,0,0,0,0
 72-82,0,0,0,15.78,0,3.53,18.16,0,0,2.37,1.05,0,0,0,38.25,0,22.27,0,0.57,5,37.26,0,18.18,0,0,7.44,0,0,22.98,0,0,14.56,0,0,0
 84-94,0,0,0,37.81,0,16.1,37.85,0.59,0,2.94,11.86,0,2.13,0,41.59,0,6.46,0,1.06,10.65,4.86,1.74,4.86,0.74,0,8.15,0,0,51.94,0,1.28,0.57,0,0,0
 96-106,0,0,0,56.85,0,18.85,51.77,2.62,0,2.14,3.57,2.53,0,0,72.34,1.06,10.96,0,0.85,5.39,35.88,0,10.97,0.87,0,31.44,0,0,70.64,0,1.76,0,0,0,0
108-118,0,0,0,54.3,0,7.21,65.56,6.61,0,2.9,5.24,1.6,2.75,1.02,36.9,0,2.62,0.43,0,18.82,35.3,0,14.05,3.81,0,26.07,0,0,84.05,0,0.87,2.22,1.3,1.97,5.75
120,0,0,0,40.43,1.87,1.37,47.73,2.44,1.44,8.35,0,0,0,0,25.01,0,11.91,1.47,6.16,38.03,34.59,0,3.96,0,0,15.41,1.12,0,32.16,0,1.53,5.98,0,0,0
