stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,46.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,11.89,4.65,0,0,34.01,0,0,6.07,0,0,0,0,0,113.88,3.49,0,0,69.97,0,0,0,0,0,0,0,0,0
 10-12,0,9.54,0,0,0,23.07,0,0,0,0,0,0,0,0,75.37,0,0,0,28.74,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,4.36,4.34,0,0,0,0,0,0,0,2.17,39.61,2.59,0,0,0,0,1.67,0.87,0,2.98,2.81,0,0,0
 24-34,0,0,0,0,0.6,1.39,0,5.88,0,0,0,0,2.39,0,17.88,0,0,0,0,0,0,0,0.69,1.36,1.8,0,0,0.69
 36-46,0,0,0,0,0,3.02,0,2.1,0,0,0,0,2.51,0,15.22,0,0.69,0,0,0,0,0,0,0,4.55,0,0,0
 48-58,0,0,0,0,0,1.46,0.45,1.97,0,0,0,0,2.88,0.45,5.32,0,0,0,0,0,0,0,0,0,0.84,0,0,0
 60-70,0,0,0,0,0,3.38,0,3.07,0,0,0,0,2.62,0,24.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,7.21,1.65,7.8,0,0.54,0.54,0,3.83,0,12.18,0,0,0,0,0,0,0,0,0,3.78,0,1.33,0
 84-94,0,0,0,0,0,0.73,0.65,8.8,0,0,0,0,0.56,1.19,7.29,0,0,0,0,2.65,0,0,0,0,2.1,0,0,0
 96-106,0,0,0,0,0,2.42,0,2.31,0,0.56,0,0,16.34,0,3.28,0,0,0.96,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.74,0,10.03,0,0,0,2.1,14.4,0.98,17.54,0.48,0,0,0,0,0.56,0,0,0,0,2.03,0,0
120,0,0,0,2.7,0,0,0,7.14,0,0,0,0,0,3.67,31.91,0,0,0,0,0,0,0,0,0,0,0,0,0
