stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.59,0,0,0,0,0,0,0,0,0,0,0,9.23,4.05,0,0,0,0
 10-12,0,12.38,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0
 14-21,0,0,1.66,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.7,1.46,0,0,0,0,0,33.66,0,0,0.64,0,0.77,0,0,0,0,0
 36-46,0,0,0,0,0,0.56,0,0,53.99,0,0,0,0,1.45,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,72.24,0,0.39,0,0,0,0,0,0.52,0,0.66
 60-70,0,0,0,0,0,0,11.13,0,40.83,0,3.62,0,0,1.28,0,0,0,5.74,0
 72-82,0,0,0,0,2.41,0,2.63,6.57,43.16,0,1.01,0,0.6,5.58,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.45,3.07,96.07,0,5.86,0,0,1.94,0,0,0,0.8,0
 96-106,0,0,0,4.02,0,0,13.87,2.74,63.47,0.64,4.04,0,3.65,21.23,0,1.2,0,0,0
108-118,0,0,0,0,0,0,6.18,1.02,38.81,0,12.75,0,2.11,5.42,0,0,0,0,0
120,0,0,0,0,0,0,4.74,12.89,44.5,0,10.02,0,0,2.99,0,0,2.12,0,0
