stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.69,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.81,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,7.18,1.08,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,4.84,0,4.65,0,1.01,0,0,0,0,0,0,0,9.17,0,0,4.6,55.36,0,0,0.96,0,0,0,10.52,0,0,0,0
 36-46,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,4.58,76.31,0,0.87,0,0,11.69,0,7.19,0,0,0,0
 48-58,0,0,0.56,0,9.63,0,6.07,0,2.79,0,0,0,0,0.45,10.61,0,0,6.4,176.76,0.49,0,0.38,0,0,0,6.07,0,0,0,0
 60-70,0,0,2.41,0.67,25.6,0,0.97,0.84,0.88,0,0,0,0.8,0,23.03,0,3.88,2.49,258.12,0,2.45,0,0,1.01,0,21.91,2.44,0,0,0
 72-82,0,0,4.45,0,89.46,0,0,0,2.54,0,0,0,0,0,38.18,0.73,1.23,1.29,210.53,0,0,1.09,0,0.6,0,26.68,2.5,0,1.89,0
 84-94,0,0,2.56,0,81.43,0,0,0,1.81,1.94,0.75,0,0.73,0,28.98,0,0,0,188.92,0.65,0,1.66,0,8.06,0,21.26,3.29,0,0,0
 96-106,0,0,2.31,0,88.01,1.41,0,0,6.46,1.38,0,0.81,0.57,0,15.68,0,0,12.65,144.64,0,0,0,0,2.27,0.57,4.52,3.23,1.5,0,6.14
108-118,0,0,6.58,0,53.55,0.56,0.46,0,3.51,0,0,0,2.77,0,27.38,0,0,3.87,135.97,0,3.7,2.72,8.11,6.09,0,2.93,3.18,0,0,0
120,1.37,0,3.83,0,47.97,0,0,0,8.95,0,0,0,0,0,13.89,0,0,0,169,0,0,0,0,2.73,0,0,5.88,0,0,0
