stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,liver,mucous,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.81,1.18,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.7,1.5,0,0,0.63,0,0
 48-58,4.53,0,0,0,0,0,0.54,0.62,0,0,0.8,1.31,0,2.94,0,0,0
 60-70,0,0,0.91,0,0,0,0,0,0,0,0.82,3.13,0,25.71,0,0.73,0
 72-82,0,0,4.43,0,1.15,0,0,0,0,0,0,10.09,0,9.09,0,0,0
 84-94,0,0,0,0,0,0,0,0.63,0,0,0,28.22,1.65,19.48,0,0,0
 96-106,2.68,0.66,3,1.08,1.23,0,0,1.4,0,0,14.72,30.82,0,191.3,0,0.99,1.67
108-118,2.13,2.84,4.37,1.74,0,0.43,0,5.71,0.51,1.59,5.11,33.77,0,141.54,0,0,0
120,0,0,0,0,0,1.31,0,0,0,0,0,8.79,0,89.22,0,0,0
