stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,324.24,4226.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.36,0,0,0,0,0,0,0,0,0,0
  5-6,225.17,1848.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,23.33,0,34.52,0,0,0,0,0,0,0,0,0,0
  7-9,11.95,0,0,10.5,0,0,0,4.76,0,0,0,0,34.48,0,0,0,0,0,0,0,0,0,0,0,121.84,12.28,0,0,52.41,0,15.32,24.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,57.35,0,0,0,4.68,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,926.35,77.02,0,0,76.81,0,23.41,0,12.56,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,15.44,450.88,2.01,0,6.39,3,0,4.23,6.6,5.15,0,0,15.63,0,0,0,0,7.86,2.13,0,3.86,55.43,65.8,3.07,12.69,1.73,0,29.57,2.66,1.93,0,0,40.53,0,0,1.25,0,0
 24-34,0,0,0.65,13.43,242.85,0,0,8.23,31.75,0,3.63,9.81,0,1.22,0,35.62,1.32,10.86,2.11,0,17.01,2.18,0,2.47,76.42,40.16,21.69,21.21,0,0,109.02,0,6.35,0,0.61,26.46,0,0,5.88,0,5.27
 36-46,0,0,0,0,154.92,0,0,3.44,30.09,4.03,0,5.24,0,2.25,0,10.75,0,10.62,2.68,0,18.01,6.59,0,0,93.81,22.38,23.09,12.08,0,0,203.58,1.3,9.74,0,0,16.3,0,0,2.57,0,3.39
 48-58,0,0,0,0.43,95.3,0,0,18.71,45.86,0.98,5.1,6.17,0,0.38,0.77,5.24,0,11.72,4.98,0,25.25,18.31,1.15,1.93,59.63,12.57,9.65,21.78,0,0.59,98.95,0,0.77,0,0,18.79,0,0,1.16,0,0
 60-70,0,0,6.41,0,113.63,0,0,37.21,45.18,0,17.33,5.27,0,2.85,1.62,1.77,0,9.08,7.74,5.94,46.27,12.64,0.89,2.31,40.31,19.7,17.22,22.31,0,0,99.35,0,0.6,0,0,0.98,3.05,0,3.17,0,1.78
 72-82,0,0,5.7,0.62,155.19,0.49,0,35.54,35.24,0,27.55,34.65,1.18,0,2.81,7.17,0,25.7,2.31,0,77.99,16.68,3.23,6.32,70.25,8.62,16.16,37.91,0,2.81,88.94,0,0.55,3.45,0,22.18,8.49,0,13.41,0,4.66
 84-94,0.62,0,7.72,0,194.53,0,0.87,44.75,53.55,0,9.96,35.56,0.99,0,2.08,19.31,0.62,25.58,2.6,0.72,34.81,15.72,1.87,3.43,29.64,13.11,21.61,32.92,0,0,227.27,0,0,0,0,1.37,15.02,2.24,0,2.26,4.6
 96-106,0,0,10.5,0.64,237,3.17,4.8,54.3,74.17,0,22.83,56.78,0,1.98,2.26,14.82,0,38.54,17.15,0,65.03,23.76,2.48,8.98,75.47,14.1,42.37,45.77,0,0,194.75,1.35,4.47,0,0,8.17,35.53,0,3.63,1.72,0
108-118,0,0,10.3,1.11,321.61,0,1.42,79.38,92.33,0.44,14.32,48.48,0,1.01,6.32,26.89,0,31.22,12.98,5.45,86.02,24.85,1.21,2.69,67.26,19.37,22.41,34.26,0,2.43,199.62,0,2.09,0,0,1.26,21.41,1.1,1.2,0,3.95
120,0,0,10.06,1.66,257.44,0,0,11.96,63.8,0,15.09,52.47,0,8.34,0,14.45,0,6.59,3.28,0,26.75,11.44,0,1.94,103.34,21.95,42.21,66.51,0,0,170.53,0,11.09,0,0,0,7.72,0,0,0,7.52
