stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.96,11.03,7.15,0,4.14,0,0,0,2.05,0,0,0,0.82,0,0,0,2.32,7.25,0,0,2.76,77.09,0.83,0,7.11,0.8,0,6.78,2.23,0,1.45,7.49,30.87,0,0,1.02,0,0
 24-34,0,14.91,0.6,0,17.25,0,0,0,2.69,0,2.15,0.83,4.37,0,0,0,0,18.36,0.63,0,7.15,197.86,0.7,4.28,0.95,0,0,38.11,0,0,0,2.02,45.23,0,0,7.4,0,2
 36-46,0,1.91,0.76,0,9.96,0,1.06,2.88,10.51,0,3.5,0,0,0,0,0,0,11.05,0,0,1.66,111.89,0,0,0,0,0,38.61,0,0,1.32,0,29.42,0,0,4.17,0,0
 48-58,0,7.72,0,0,32.98,2.94,0,0.42,23.97,2.47,0.41,0,0,0,0,0,0,17.1,0,1.16,1.95,175,2.33,0.64,2.05,0,0,39.91,0,0,4.14,0,17.86,0,0,1.93,0,6.28
 60-70,0,3.91,0,0,67.82,0,9.69,0,17.42,0,0.75,0.65,0,0,0.69,0,0,40.11,0,2.31,0.65,161.46,0,0,0,0,0,53.06,0,1.87,0,0,21.51,0,0,0,0,0
 72-82,0,2.48,14.78,0,54.38,0,0,0,22.95,1.85,0,1.25,0,0,1.53,1.68,0,57.95,0,2.31,3.03,206.61,0,1.08,7.04,0,1.78,33.99,0,0,0,0,28.01,0,0.78,4.8,1.22,0
 84-94,0,1.5,8.41,0,28.45,0,0,3.18,16.87,0.97,0,0.71,1.17,7.03,0,0,1.94,38.87,3.06,0,0.71,86.62,0,2.5,3.29,0,0,65.42,0,0.74,0.62,0,9.71,0,1.31,0.59,1.55,0
 96-106,0,8.99,6.6,0,27.23,0,1.32,1.39,16.12,2.24,0,3.32,1.7,0,2.35,5.58,0,29.26,0,3.39,0,103.52,0.98,2.89,1.44,0,0.99,102.47,0,0,0,0,0,0,0,9.86,0.67,0.62
108-118,0,7.47,0,1.37,28.4,0,4.91,0,25.94,4.83,0,2.97,3.7,5.84,0,1.65,0,45.25,0,1.15,0.83,86.8,0,1.13,0,0,1.28,48.52,0,0.95,1.22,0,8.58,0,0,0,0,3.64
120,1.28,6.64,0,0,14.86,1.76,4.18,2.6,15.98,0,0,0,0,0,0,0,0,23.33,11.34,8.06,0,148.14,4,8.23,1.86,0,0,50.86,0,0,0,0,0,2.25,5.53,0,0,0
