stage,blastomeres,erythrocytes,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature
  3-4,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0
 48-58,0,0,1.61,0,0,0,0.65,0,0,0,0.42,0,0,0
 60-70,0,0,2.36,0,0,0,0,0,0,1.11,0,0,0,0
 72-82,0,0,0,2.14,0,0,0,3.52,0,3.44,0,0,1.68,0
 84-94,0,0,0,1.1,0.59,0,0,0,0,3.37,0,0,0,1.24
108-118,0,0,0,1.08,0,0,0,0,1.49,3.23,0,0,0,0.85
120,0,1.46,0,0,0,0,0,0,0,0,0,3.4,0,0
