stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,76.39,1169.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.25,0,0,0,0,0,0,0,0
  5-6,42.97,579.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,8.98,0,0,0,0,0,0,0,0
  7-9,10.43,6.33,0,6.98,0,0,29.14,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,142.62,16.36,0,0,65.99,0,0,0,0,0,0,0,0,0
 10-12,0,8.37,0,24.65,0,0,28.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.2,8.6,0,0,37.59,0,0,3.53,0,0,0,0,0,0
 14-21,0,0,0,1.1,10.84,4.05,3.86,0,0,0,6.02,0.86,0,0,0,0,0,0,4.09,0,7.79,54.09,1.31,0,1.98,1.12,0,5.01,0,9.17,24.13,0,0,0,0
 24-34,0,0,0,0.79,2.01,0,8.69,0,0,0,0.7,0,0,0.61,0,0.62,0,0,9.28,0,5.07,150.92,0,0,2.84,0,4.34,0,0,0.63,26.38,0,0,3.46,0
 36-46,0,0,0,0,1.24,0,16.59,0,0,0.82,5.89,0,0,0,0,1.44,0,0,11.6,0,6.46,67.62,0,0,0.97,0,14.88,0,0,0,12.19,0,0,4.48,0
 48-58,0,0,0,0,0.43,2.2,16.67,0,0,0.4,9.8,0,0,0,0,0,9.14,0,12.38,1.22,0.59,69.73,0,0,0,0,0.94,0,0,0,16.75,0,0,0.41,0
 60-70,0,0,0,0,1.07,0,26.72,2.8,0.76,0,25.11,0,0,0,0,0,0,0,26.3,0,0,51.83,0,0,0,0,0,0,0,0,3.42,0,0,2.3,0
 72-82,0,0,0,0,3.78,0,19.25,0,0,0,6.44,0,1.27,0,0.61,0,2.49,0,29.17,0.75,1.06,43.78,5.65,0,0,0,0,0,0,0,4.43,0,0.75,7.42,0
 84-94,0,0,0,0,0.7,0,13.85,0,1.15,0,10.96,0,4.19,0,0,0,0,0,11.61,0,0,16.08,0,0,0.68,0,5.12,0,1.46,0,1.69,0,2.08,2.1,0
 96-106,0,0,1.19,0,1.38,0,6.5,0,0,0,9.4,0,1.24,0,0,0,0,0.69,5.51,0,0,25.02,0,0,2.43,0,2.96,0,0,0,1.95,0,0,2.8,0.69
108-118,0,0,0,0,0.82,0,2.15,0,0,1.29,1.84,0,0,1.36,3.15,0,0,0,16.7,0,1.82,32.85,0,1.76,0.76,0,1.36,0,0,0,1.33,0.58,0,0,0
120,1.19,0,0,0,1.43,0,4.45,0,0,0,10.34,0,0,0,0,0,0,0,11.52,0,0,31.14,0,0,0,0,0,0,0,0,18.66,0,0,5.44,0
