stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.19,0,15.07,0,0,0,4,0,0,0,0,1507.41,0,0,0,0,0,0,0,0,0,0,26.41,4.45,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.86,39.59,0,0,0,7.2,0,0,0,0,2678.86,0,0,0,0,0,0,0,0,0,0,132.78,32.91,0,0,64.74,0,0,0,4.36,0,0,0,0,0,0,0
 14-21,2.66,0,3.11,264.8,6.23,0,1.72,0,0,2.29,6.79,1962.04,0,0,0,0,0,0,5.88,2.04,0,2.07,89.69,11.12,0,0,0.81,0,1.31,8.46,1.9,0,1.75,146.57,0,3.29,0,0
 24-34,0,0,27.14,365.16,0,0,13.08,0.62,0,5.47,0,287.89,0,0.66,1.26,0,0,0.65,20.03,5.45,0,1.65,71.46,0,0,0,0,0,1.74,0,3.89,3.47,0.72,172.92,0,58.36,0,0
 36-46,0,0,4.15,211.4,0,0,29.96,3.43,0,12.1,1.24,10.61,0,0,6.62,0,0,0,0,7.28,0,0,89.63,0,0,0,0,0,0,0,2.21,0,0,124.13,0,120.29,0,0
 48-58,0,0,0,205.56,0,0,30.99,15.27,0,16.93,0.97,0.87,0,0,0.58,0,0,0,22.35,6.79,0,0.53,54.28,10.22,0,0.66,0,0,0.5,0,2.65,0,0,37.84,0,112.47,0,0
 60-70,0,0,0,292.37,0,0,11.85,16.48,0,8.81,1.68,0,0,0,0,0,0,0,26.62,4.93,0,0,36.1,0,0,1.78,0,0,1.86,0,0.97,0,0,14.16,0,105.26,2.12,0
 72-82,0,0,0,124.62,6.22,0,28.12,4.6,0,25.86,4.88,0,0,0,0,0,0.5,0,74.82,16.23,0,0,48.11,0,0,11.2,0,0,0,0,18.45,0,0,15.36,0,170.01,1.05,4.07
 84-94,11.09,0,0,345.39,2.75,0,22.76,21.48,0,7.78,11.7,0.86,0,0,2.39,0,0.9,0,173.1,17.63,1.01,0,30.2,0,0,12.75,0,7.18,0,0,17.7,0,0,14.43,2.8,99.72,0,0
 96-106,0,0,1.64,261.26,3.96,0,68.17,16.34,2.76,16.8,32.64,0,1.39,1.63,0.7,0.85,0,1.01,394.09,12.05,0,0,69.48,0,0.89,8.14,0,0,4.54,0,10.53,0,0,3.13,1.08,177.13,0.89,0
108-118,0,0,3.91,281.96,1.77,0,50.91,19.08,0,9.13,53.8,0,0,1.08,2.54,0,0.87,3.34,426.61,21.43,0,3.13,55.27,0,0,28.92,0,0,5.36,0,29.19,0,0,8.93,2.04,99.41,0.57,0
120,0,0,0,104.03,2.28,2.68,46.38,5.51,0,1.79,26.47,0,0,0,0,12.97,0,0,216.78,1.46,0,0,39.61,0,0,19.89,0,0,1.14,0,0,0,0,1.17,0,83.62,0,0
