stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.91,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0
  5-6,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.84,0,0,0,0,0,26.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0
 14-21,0,1.03,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,1.45,0,0
 24-34,0,0,0,2.88,2.1,0,0,0.83,0,7.26,0,0,0,0,0,1.79,0,0,0
 36-46,0,0,0,1.57,0,0,2.27,1.58,0,21.29,0,0,0,0,2.36,5.05,0,0,0
 48-58,0,0,0,0.69,0,0,2.67,1.27,0,16.8,0,0,0,0,2.29,2.9,0.52,0,0
 60-70,0,0,0,2.36,0,2.03,0,2.15,0,70.62,0.66,0,0,0,0,15.74,0,0,0
 72-82,0,0.96,5.65,10.44,4.73,0,0,0,0,110.61,0,0,0,0,0,13.98,0.9,0.51,0
 84-94,0,0,0,9.95,0,1.72,0,1.75,1.13,69.41,0,0,0,0,0,7.84,6.16,0,0.59
 96-106,0,0,0,17.47,0,2.21,0,1.43,0,46.29,0,0,0,0,2.25,3.5,4.95,0,0
108-118,0,0,0,8.98,0,1.89,0,3.57,0,81.62,0,0.84,0,0,0,6.12,1.53,0,1.31
120,0,17.57,0,8.61,0,0,0,0,0,113.76,0,0,0,2.31,1.56,9.81,0,7.27,0
