stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,24.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0
  7-9,4.75,0,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,100.92,0,0,0,9.68,0,4.57,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,7.18,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,0,0,0,0,2.05,0,0,0,0,0,0,0.83,0,0,0,22.14,1.75,0,0,0,2.4,0,0,0,5.32,7.09,0
 24-34,0,0,5.29,0,0,2.48,0,0,0,0,0,0,0,0,0,6.05,0,0,2.49,15.33,0,0,0,0,10.59,0,0,0,0,4.27,0
 36-46,0,0,2.06,0,0,2.84,0.57,0,1.68,0,0,0,0,0,0.94,3.34,0,0,0,13.21,0,0,0,0,17.58,0,0,0,0,5.17,0
 48-58,0,0,3.31,0,0,4.29,0,0,0.66,2.64,0,0,0,0,0,0.94,0,0.94,0,24.23,0,0,0.48,0,25.15,0,0.39,0,0,4.16,0
 60-70,0,0,0.66,0,0,14.18,0,0,3.26,0,0,0.75,0,0,0,2.2,0,0,0,13.84,0,0,0,0,20.29,0,0,0,0,1.87,0
 72-82,0,0.62,2.08,1.07,0,12.68,0,0,0,6.45,3.93,0,0,0.79,0,9.32,1.23,0,0,24.24,0,0,0,0,23.32,0,9.95,1.5,0,1.03,0
 84-94,0,6.23,0,0,0,2.13,0,0,0.67,41.31,32.98,1.41,0,0,0,5.69,2.2,0,0,18.38,0,0,0,0,52.36,0,22.98,0,0,0,1.36
 96-106,0,2.25,3.72,0,0.71,30.58,0,0,2.02,47.7,20.93,0.87,0,0,0,5.26,1.23,0,0,13.9,0,0.59,0,0,37.28,0,10.52,0,0,2.34,0
108-118,0,3.54,5.24,0,0,25.08,0,0,4.52,121.87,38.44,2.25,1.51,0,0,6.93,3.54,0,1.17,27.53,0,0,3.27,0,36.26,0,12.25,0,0,1.97,0
120,0,0,0,0,0,15.39,0,8.58,17.6,175.36,41.36,5.83,0,0,0,2.65,0,0,0,44.64,0,0,0,0,33.76,0,13.42,0,0,0,0
