stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,25.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0.8,0,0,0,0,1.08,1.3,0,0,0,0,0
 24-34,0,0,0.87,0,0,4.14,0,0,0,0,0,0.76,0,0.63,0,0,0,3.74,0,0,3.19,24.2,0.92,0,0,0,2.3,0,1.45,0.68,14.35,0,0,1.69,0,0
 36-46,0,0,0,0,0,1.86,0,0,0,0.8,0,0,0,0,0,0,5.6,5.58,0,0,0,23.38,0,0,0,0,7.24,0,0,0,7.46,0,0,0,0,0
 48-58,0,0,3.05,0,0,13.49,0,0,2.4,4.46,0,0,0,3.13,0,0,0,3.34,2.63,0,0,28.09,0,1.18,0,0,7.1,0,0,0,5.84,0,0,0,0,0
 60-70,0,0,8.57,0,0,14.03,1.8,0,0,0,1.57,0,0,0,2.8,0,2.53,5.42,0,0,0,26.38,0,0.67,0,0,3.12,0,0,0,2,0,0,0,0,0
 72-82,0,0,0.67,0.92,0,32.83,0,0,4.67,11.22,1.81,0.84,0,0,0.65,1.52,0,12.29,6.51,0,1.87,20.65,0,2.88,0,0,3.55,0,0,0,2.6,0,0,7.76,4.3,0
 84-94,0,0,1.78,0,0,13.42,0,0,0.75,0,0,0,0.79,0,0,0,0,13.42,0.78,0.72,0,2.76,0,0,0,0,0.6,0,0,0,0,0,1.05,1.49,1.07,0
 96-106,0,0,0.64,0,0.59,11.99,0,0.71,0,11.42,0,0,0,0.74,0,0,0,14.22,0,0,0,18.51,0,1.9,0.65,0,8.41,0,0,0,2.06,0,0,1.28,0,0
108-118,0,0,1.7,0,0,5.64,0,0,0,14.07,0,0,0.64,0,0,0,0,15.43,0,0,0,9.62,0,0,0,5.54,0.56,0,0,0,0,0.58,0,0,0,0.65
120,0,0,0,0,0,11.49,0,0,0,10.36,0,0,1.79,0,3.19,4.83,0,21.25,0,0,3.64,27.66,0,0,3.28,0,0,0,0,0,1.95,0,0,8.27,0,0
