stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.03,3.78,0,0,0,7.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,677.95,0,0,0,26.17,3.81,0,0,19.1,0,0,0,0,0,0
 14-21,3.7,0,0,11.24,641.78,839.79,48.09,0,0,0,1.24,0,0,0,33.71,372.65,0,0,0,0,1.66,23.51,0,0,221.46,0,3.06,2.61,0,16.52,0,9.53,1.14,0,29.57,0,1.58,0,0
 24-34,0,0,0,6.83,82.18,84.47,514.44,0,0.84,0,12.51,1.39,2.28,0,34.04,154.16,0,0,0.61,0,9.39,50.4,0,1.19,693.96,0,11.07,2.48,1.99,5.45,0,0,3.72,0.67,66.11,0,60.49,0,0
 36-46,0,0,0,0,64.31,3.49,648.45,0,2.44,0,4.86,1.21,0,0,12,60.95,0,0,1.19,1.46,1.19,7.06,0,0.82,421.84,0,2.79,0,0,12.66,0,0,4.76,0,40.05,0,47.39,0,6.34
 48-58,0,0,0,0.6,62.08,18.17,483.04,2.26,4.12,0,14.12,5.43,0,0,12.7,80.82,0,0.61,0,2.47,4.87,9.73,0,7.77,272.01,0,11.24,0,0,0,0,0,6.32,0,31.76,0,53.1,0,0
 60-70,0,0,0,0,129.37,50.21,274.56,0,0,0,29.9,24.47,0,0,33.91,37.43,1.2,0.85,1.41,0,2.18,7.75,6.3,0.8,158.95,0.68,9.05,0,0,3.46,0,0,0,0,10.17,30.23,20.33,0,0
 72-82,0,0,1.91,0,103.76,178.13,119.4,0,2.77,0,34.58,30.19,0,0.6,71.37,97.72,0,0,0,0,8.07,10.23,0.53,1.28,167.09,0,8.16,0.67,0,1.73,0,0,2.06,0,5.9,77.33,67.49,0,0
 84-94,0,0,3.59,0,149.24,170.71,88.71,0.56,3.28,0.75,15.05,34.94,0,0,89.81,148.68,2.74,0,0,0,4.5,10.76,0.58,1.64,100.79,0,18.58,2.34,0,11.98,0,0,1.13,0,0.58,98.99,45.9,0,0
 96-106,0,0,1.36,0,180.85,240.78,100.45,0,1.47,2.01,32.44,47.88,0,0,82.94,75.56,0,1.6,15.64,0,26.92,5.9,4.32,0,111.41,0,8.14,2.59,0,9.7,1.14,0,0,0,0,51.33,60.62,2.72,0
108-118,0,0,3.72,0.76,187.26,365.1,89.93,0,5.28,0.6,30.43,54.06,0,1.37,79.84,81.25,0.79,0.48,1.5,0,17.34,6.46,1.48,1.98,159.34,0,8.44,0.67,0,6.22,0,0,1.28,0,1.82,57.5,56.95,0,0
120,1.19,0,0,0,130.71,353.83,146.99,0,2.77,2.45,40.07,38.88,0,0,152.18,25.79,0,6.25,7.39,0,2.19,0,0,1.39,145.35,4.32,6.26,2.42,0,9.4,0,0,0,0,24.12,27.7,79.38,0,0
