stage,epidermis,eye,fin_epithelia,glial,ionocyte,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,22.18,0,0
 14-21,0,0,0,0,0,1.18,0,0,0,0,0,0
 24-34,0,1.19,0,0,0,0,0,2.66,0,0,0,0
 36-46,0.7,0,0,0,0,0.87,0,2.38,0,0,0,0
 48-58,9.41,0,0,0,0,2.12,0,6.8,5.11,0,0.6,0
 60-70,6.13,0,0,0,0,101.38,0,3.01,0,0,0.89,0.72
 72-82,39.17,0.83,7.43,0,2.24,174.64,0,3.85,0,0.57,0,0.5
 84-94,20.08,0.76,0,1.42,0,84.34,0,3.38,0,0,0,0
 96-106,16.55,9.54,5.55,18.43,0,109.96,0.9,96.69,0,0,3.78,0
108-118,22.78,2.41,0,1.45,0,143.89,2.02,6.17,0,0,0,0
120,3.51,0,0,0,0,173.94,0,13.28,0,0,0,0
