stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,17.01,60.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0
  7-9,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,2.48,8.18,0,0,1.22,0
 24-34,0,0,1.38,0,0,0,0,0,0,0.92,0,10.62,0,0,0,1.46,0,0,3.33,0,0,0,0,0,80.98,5.57,0,3.34,0
 36-46,0,0,9.38,0,0,0,0,0,3.13,0.92,0,13.25,0,0,0,0,1.02,0,3.5,0,2,0,0,0,16.26,0,0,3.2,0
 48-58,0,0,0.62,0,1.98,0,0,0,0,0,0,3.77,0,0,0,0.58,4.1,0,1.26,0,0,0,0,0.94,19.44,0.49,0,0,0
 60-70,2.52,0,2.32,0,0,0,0,0,0,2.9,0,41.44,0,0,0,0,7,0,10.4,0,0,0,0,0,15.85,0,0,0,0
 72-82,0,0,11.24,0,3.8,1.33,6.1,0.85,0,0,0,86.16,0.54,0,0,1.47,5.34,0,4.37,0,0,0.54,0,0,46.5,0,0,0,0
 84-94,0,0,6.17,0,5.37,0,1.3,0,0.66,1.8,0,129.71,0,2.06,0,0.97,0.7,0,0,0,0.91,0,0,0,84.34,0,0,2.46,0.89
 96-106,0,0,32.93,4.71,12.29,1.64,0,0,0,0,0.67,268.77,0,0,0,2.25,3.08,3.69,24.03,0.73,1.78,0,0,0.78,73.36,1.5,1.64,0,0.59
108-118,0,0,12.9,0,6.28,0,0,0,2.45,0.8,0,290.12,0,0,0.8,0.57,3.83,0,21.08,0,1.62,0,0,2.68,44.67,0,2.89,0,0.95
120,0,0,30.69,0,10.18,7.84,1.42,0,0,0,0,158.67,0,0,0,0,4.44,0,6.63,0,3.01,0,0,0,39.53,0,0,0,0
