stage,blastomeres,endoderm,eye,glial,immune,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord
  3-4,13.28,0,0,0,0,0,0,0,0,0,0
  5-6,55.89,0,0,0,0,0,0,7.43,0,0,0
  7-9,0,0,0,0,0,0,0,40.7,0,3.43,0
 10-12,0,15.38,7.46,0,0,0,0,52.31,0,20.26,0
 14-21,0,0,0,0,0,0,0,2.28,0,0,0
 24-34,0,0,0,0,0,1.2,0,0.65,0,0,1.11
 36-46,0,0,0,0,0,0,0,1.36,0,0,2.23
 48-58,0,0,0.41,4.7,0,0,0,3.89,0,0,0
 60-70,0,0,1.38,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,3.64,0,0,0
 84-94,0,0,3.14,0,0.69,0,0,0,0,0,0
 96-106,0,0,0,2.47,0,0,1.08,0,1.75,0,0
