stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.03,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,0,6.72,0,0,0,0
 24-34,0,0,0,1.29,0,0,0,0,0,0,0,0,2.4,0,0,81.18,0,1.26,0.68,0,0,20.23,0,0,0,0
 36-46,0,0,0,3.66,0,0,0.67,0,0,0,0,0,2.58,0,0,171.49,0,0,0,7.46,0,36.05,0,0.67,0,0
 48-58,0,0,0,38.45,0,0,0,6.83,0,0,0,0,1.57,0,0.37,229.35,0,0,0,0,0,36.69,0,0,0,0
 60-70,0,0.77,0,151.94,0,0,0,7.08,0,0,7.09,0,4.61,0,0,238.73,0,8.3,0,0,2.06,28.8,0,0,0,0.69
 72-82,0,0.9,0,120.49,0,0,0.71,7.1,0,0.59,0,0.79,5.6,0,2.07,327.69,0,1.19,0,0,0,28.91,1.26,0.91,0,0
 84-94,0,0,0,129.01,0,0,0.87,12.17,0,0,0,0,3.58,0.66,0,126.6,0,0,0,0,0,6.87,0,0.92,0,0
 96-106,0,0.56,0,64.18,0,0,0,15.47,0.58,0,0,0,13.83,0,0,121.37,0,0,0,0,0,7.62,0,8.21,0.64,0.62
108-118,0,4.06,0,63.59,0,0,0,8.21,0,0,2.04,0,9.48,0,0.5,172.95,0,1.07,0,0,0,5.05,0,0,0,0
120,0,0,0,28.97,7.8,1.55,0,16.26,0,0,0,0,0,0,0,173.86,3.77,0,11,0,0,0,0,0,0,2.33
